sample_id,any_picorna,any_calici,any_pos,virus_general,dataset,specific_roost_site,roost_site,latitude_s,longitude_e,sampling_session,processing_date,year,bat_species,bat_sex,bat_age_class,young_of_year,pupmom_pair,pup_or_mom,sampleid_pupmom_pair,bat_weight_g,body_length_cm,bat_forearm_mm,bat_tibia_mm,ear_length_mm,gonad_length_mm,gonad_width_mm,predicted_mass_g,mass_forearm_residual
ANGB151,0,0,0,,CZID,Angavobe,AngavoKely,-18.9327,47.7578,45,2018-07-27,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,340,19,128.2,60.8,29.8,10.1,6.7,306.7149088,33.28509122
ANGB152,0,0,0,,CZID,Angavobe,AngavoKely,-18.9327,47.7578,45,2018-07-27,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,320,18.5,132.6,63.8,27.7,7.6,6.3,321.5101518,-1.51015177
ANGB153,0,0,0,,CZID,Angavobe,AngavoKely,-18.9327,47.7578,45,2018-07-27,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,310,18.5,134.4,62.7,28.8,6,4.9,327.6193924,-17.61939243
ANGB154,0,0,0,,CZID,Angavobe,AngavoKely,-18.9327,47.7578,45,2018-07-27,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,340,20,125.1,63.4,28.9,7.2,5.3,296.4107022,43.58929778
ANGB155,0,0,0,,CZID/NIH,Angavobe,AngavoKely,-18.9327,47.7578,45,2018-07-27,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,320,18,131.1,65.4,30.4,8.9,6.5,316.4441295,3.555870541
ANGB156,0,0,0,,CZID,Angavobe,AngavoKely,-18.9327,47.7578,49,2018-09-09,2018,Eidolon dupreanum,male,A,no,no,NA,NA,340,22.5,125.3,63.2,30.2,15.8,13.4,307.5670932,32.4329068
ANGB157,0,0,0,,CZID,Angavobe,AngavoKely,-18.9327,47.7578,49,2018-09-09,2018,Eidolon dupreanum,male,A,no,no,NA,NA,365,22.8,129.9,63.2,30.7,18.5,14.3,322.2960954,42.70390463
ANGB158,0,0,0,,CZID/NIH,Angavobe,AngavoKely,-18.9327,47.7578,49,2018-09-09,2018,Eidolon dupreanum,female,P,no,no,NA,NA,385,21.8,134.5,61.8,34.5,8.7,5.7,327.9597498,57.0402502
ANGB159,0,0,0,,CZID/NIH,Angavobe,AngavoKely,-18.9327,47.7578,49,2018-09-09,2018,Eidolon dupreanum,female,P,no,no,NA,NA,340,22.2,134.3,65.2,27.1,8.3,6.1,327.2791353,12.72086466
ANGB160,0,0,0,,CZID/NIH,Angavobe,AngavoKely,-18.9327,47.7578,49,2018-09-09,2018,Eidolon dupreanum,male,A,no,no,NA,NA,360,23.5,126.2,60.9,23.4,23.7,14.6,310.4363952,49.56360483
ANGB161,0,0,0,,CZID/NIH,Angavobe,AngavoKely,-18.9327,47.7578,49,2018-09-09,2018,Eidolon dupreanum,male,A,no,no,NA,NA,320,23,128.9,60.6,23.9,15.1,10.3,319.0807354,0.91926456
ANGB163,0,0,0,,CZID,Angavobe,AngavoKely,-18.9327,47.7578,49,2018-09-09,2018,Eidolon dupreanum,male,A,no,no,NA,NA,345,22.3,131.7,66.2,33.9,15.4,10.5,328.1022903,16.89770968
ANGB19,0,0,0,,NIH,Angavobe,AngavoKely,-18.9327,47.7578,4,2013-11-24,2013,Eidolon dupreanum,female,J,NA,NA,NA,NA,101,12.5,95,41,26,NA,NA,NA,NA
ANGB21,0,0,0,,NIH,Angavobe,AngavoKely,-18.9327,47.7578,4,2013-11-24,2013,Eidolon dupreanum,female,L,NA,NA,NA,NA,300,22.3,128.1,60.4,29.1,NA,NA,NA,NA
ANGB22,1,0,1,Kobuvirus,NIH,Angavobe,AngavoKely,-18.9327,47.7578,4,2013-11-24,2013,Eidolon dupreanum,male,J,NA,NA,NA,NA,120,13.3,97.8,46.8,20.8,NA,NA,NA,NA
ANGB40,0,0,0,,NIH,Angavobe,AngavoKely,-18.9327,47.7578,7,2014-03-20,2014,Eidolon dupreanum,female,NL,NA,NA,NA,NA,320,23,130,64,32,NA,NA,NA,NA
ANGB42,0,0,0,,NIH,Angavobe,AngavoKely,-18.9327,47.7578,13,2014-10-04,2014,Eidolon dupreanum,male,A,NA,NA,NA,NA,420,21.1,132.5,60.5,31.1,10.3,8.2,NA,NA
ANGB45,0,0,0,,NIH,Angavobe,AngavoKely,-18.9327,47.7578,19,2014-12-14,2014,Eidolon dupreanum,female,L,NA,NA,NA,NA,315,21.8,127,61.1,31.1,5.3,9.3,NA,NA
ANGB47,0,0,0,,NIH,Angavobe,AngavoKely,-18.9327,47.7578,19,2014-12-14,2014,Eidolon dupreanum,female,J,NA,NA,NA,NA,125,14.4,108,48,26.5,small,NA,NA,NA
ANGB50,0,0,0,,NIH,Angavobe,AngavoKely,-18.9327,47.7578,19,2014-12-14,2014,Eidolon dupreanum,female,NL,NA,NA,NA,NA,425,20.8,123,62.4,32.4,4.4,10.4,NA,NA
ANGB51,0,0,0,,NIH,Angavobe,AngavoKely,-18.9327,47.7578,19,2014-12-14,2014,Eidolon dupreanum,male,J,NA,NA,NA,NA,135,15.5,112,51.5,24.5,small,NA,NA,NA
ANGB52,0,0,0,,NIH,Angavobe,AngavoKely,-18.9327,47.7578,19,2014-12-14,2014,Eidolon dupreanum,female,NL,NA,NA,NA,NA,340,20.2,134,63.2,30,8.6,12.6,NA,NA
ANGB53,0,0,0,,NIH,Angavobe,AngavoKely,-18.9327,47.7578,19,2014-12-14,2014,Eidolon dupreanum,male,A,NA,NA,NA,NA,320,22.5,127.2,59.1,29.4,23.3,26.3,NA,NA
ANGB57,0,0,0,,NIH,Angavobe,AngavoKely,-18.9327,47.7578,25,2015-04-27,2015,Eidolon dupreanum,female,NL,NA,NA,NA,NA,390,21.4,132.5,66.4,26,5.3,10.1,NA,NA
ANGB61,0,0,0,,NIH,Angavobe,AngavoKely,-18.9327,47.7578,25,2015-04-27,2015,Eidolon dupreanum,female,NL,NA,NA,NA,NA,320,22.6,124.9,57.5,31.9,6.2,9.4,NA,NA
ANGB64,0,0,0,,NIH,Angavobe,AngavoKely,-18.9327,47.7578,25,2015-04-27,2015,Eidolon dupreanum,male,A,NA,NA,NA,NA,360,20,134,65.3,29.16,18.63,21.32,NA,NA
ANGB67,0,0,0,,NIH,Angavobe,AngavoKely,-18.9327,47.7578,25,2015-04-27,2015,Eidolon dupreanum,female,NL,NA,NA,NA,NA,380,22.1,136.1,67.2,33.2,7.8,10,NA,NA
ANGB90,0,0,0,,NIH,Angavobe,AngavoKely,-18.9327,47.7578,30,2015-06-22,2015,Eidolon dupreanum,female,NL,NA,NA,NA,NA,330,19.8,139,61.4,32.3,11.1,8.6,NA,NA
ANGB91,0,0,0,,NIH,Angavobe,AngavoKely,-18.9327,47.7578,30,2015-06-22,2015,Eidolon dupreanum,female,NL,NA,NA,NA,NA,350,20.5,131.08,58.08,28.01,9.08,6.67,NA,NA
CAT005,0,0,0,,NIH,Ankarana_Cathedral,Ankarana,-12.9435,49.0555,80,2019-09-28,2019,Eidolon dupreanum,male,A,no,no,NA,NA,312,22.5,129.1,63.8,28.7,11.8,12.2,319.7232159,-7.723215866
CAT006,0,0,0,,NIH,Ankarana_Cathedral,Ankarana,-12.9435,49.0555,80,2019-09-28,2019,Eidolon dupreanum,female,NL,no,no,NA,NA,284,20.9,125.7,56.8,28.4,small,small,298.3972571,-14.39725707
CAT007,0,0,0,,NIH,Ankarana_Cathedral,Ankarana,-12.9435,49.0555,80,2019-09-28,2019,Eidolon dupreanum,male,A,no,no,NA,NA,309,21.3,126.3,57.8,25.8,12.2,10.1,310.7555831,-1.755583143
CAT008,0,0,0,,NIH,Ankarana_Cathedral,Ankarana,-12.9435,49.0555,80,2019-09-28,2019,Eidolon dupreanum,male,A,no,no,NA,NA,370,22.7,132.1,64.8,29.1,10.8,10,329.3957757,40.60422429
CAT009,0,0,0,,NIH,Ankarana_Cathedral,Ankarana,-12.9435,49.0555,80,2019-09-28,2019,Eidolon dupreanum,male,A,no,no,NA,NA,276,20.8,125.7,61.1,26.4,small,small,308.8415844,-32.8415844
CAT010,0,0,0,,NIH,Ankarana_Cathedral,Ankarana,-12.9435,49.0555,80,2019-09-29,2019,Eidolon dupreanum,male,A,no,no,NA,NA,254,19.4,122.1,57.3,25.2,receded,receded,297.4149371,-43.41493714
CAT011,0,0,0,,NIH,Ankarana_Cathedral,Ankarana,-12.9435,49.0555,80,2019-09-29,2019,Eidolon dupreanum,male,A,no,no,NA,NA,337,22.4,136.2,65.9,26.4,10.6,10.3,342.7207611,-5.72076111
CAT012,0,0,0,,NIH,Ankarana_Cathedral,Ankarana,-12.9435,49.0555,80,2019-09-29,2019,Eidolon dupreanum,female,NL,no,no,NA,NA,269,19.6,121.6,58.3,28.8,small,small,284.897957,-15.89795699
CAT013,0,0,0,,NIH,Ankarana_Cathedral,Ankarana,-12.9435,49.0555,80,2019-09-29,2019,Eidolon dupreanum,male,A,no,no,NA,NA,290,24.7,135.7,66,28,12,10.3,341.0892951,-51.08929513
CAT014,0,0,0,,NIH,Ankarana_Cathedral,Ankarana,-12.9435,49.0555,80,2019-09-29,2019,Eidolon dupreanum,female,NL,no,no,NA,NA,244,20.7,121.9,58,23.9,small,small,285.8796821,-41.87968208
CAT015,0,0,0,,NIH,Ankarana_Cathedral,Ankarana,-12.9435,49.0555,80,2019-09-29,2019,Eidolon dupreanum,male,A,no,no,NA,NA,319,21.75,129.8,67.4,33.7,12.8,12.5,321.974227,-2.974227045
CAT016,0,0,0,,NIH,Ankarana_Cathedral,Ankarana,-12.9435,49.0555,80,2019-09-29,2019,Eidolon dupreanum,male,A,no,no,NA,NA,299,20.5,129,62.3,27.7,10.3,16.6,319.4019386,-20.40193862
CAT017,0,0,0,,NIH,Ankarana_Cathedral,Ankarana,-12.9435,49.0555,84,2019-11-04,2019,Eidolon dupreanum,female,NL,no,no,NA,NA,278,21.7,125.8,59.8,29.2,7.5,10.3,298.7287153,-20.7287153
CAT018,0,0,0,,NIH,Ankarana_Cathedral,Ankarana,-12.9435,49.0555,84,2019-11-04,2019,Eidolon dupreanum,female,NL,no,no,NA,NA,303,20.2,131.1,60.2,26.7,7.4,8.4,316.4441295,-13.44412946
CAT019,0,0,0,,NIH,Ankarana_Cathedral,Ankarana,-12.9435,49.0555,84,2019-11-04,2019,Eidolon dupreanum,male,A,no,no,NA,NA,318,21.3,135.1,66.4,25.2,12.3,14.9,339.1338951,-21.13389511
CAT020,0,0,0,,NIH,Ankarana_Cathedral,Ankarana,-12.9435,49.0555,84,2019-11-04,2019,Eidolon dupreanum,female,NL,no,no,NA,NA,273,20.4,122.3,62.5,30.6,8.9,7,287.1901378,-14.19013782
CAT021,0,0,0,,NIH,Ankarana_Cathedral,Ankarana,-12.9435,49.0555,84,2019-11-04,2019,Eidolon dupreanum,female,NL,no,no,NA,NA,298,19.5,132.8,64.3,31.3,7.8,8.8,322.1873435,-24.18734355
CAT022,0,0,0,,NIH,Ankarana_Cathedral,Ankarana,-12.9435,49.0555,84,2019-11-04,2019,Eidolon dupreanum,female,NL,no,no,NA,NA,285,21.3,130.2,62,28.2,10.4,9,313.4155003,-28.41550029
CAT023,0,0,0,,NIH,Ankarana_Cathedral,Ankarana,-12.9435,49.0555,84,2019-11-04,2019,Eidolon dupreanum,female,NL,no,no,NA,NA,268,19.8,126.8,60.1,25.4,9.8,6.1,302.0490296,-34.04902959
CAT024,0,0,0,,NIH,Ankarana_Cathedral,Ankarana,-12.9435,49.0555,84,2019-11-04,2019,Eidolon dupreanum,female,NL,no,no,NA,NA,293,21.3,132.2,64,34.9,6,8,320.1569818,-27.1569818
CAT025,0,0,0,,NIH,Ankarana_Cathedral,Ankarana,-12.9435,49.0555,84,2019-11-04,2019,Eidolon dupreanum,female,NL,no,no,NA,NA,295,21.3,129,62.7,30,7.6,7.5,309.3902142,-14.39021422
CAT026,0,0,0,,NIH,Ankarana_Cathedral,Ankarana,-12.9435,49.0555,84,2019-11-05,2019,Eidolon dupreanum,female,NL,no,no,NA,NA,305,20.9,133.3,60.5,28.6,7,9.3,323.8820899,-18.88208986
CAT027,0,0,0,,NIH,Ankarana_Cathedral,Ankarana,-12.9435,49.0555,84,2019-11-05,2019,Eidolon dupreanum,male,A,no,no,NA,NA,342,21.6,135.1,63.9,33.1,11.9,11.6,339.1338951,2.866104891
CAT028,0,0,0,,NIH,Ankarana_Cathedral,Ankarana,-12.9435,49.0555,84,2019-11-05,2019,Eidolon dupreanum,female,J,no,no,NA,NA,290,20.2,130.1,61.2,25.6,small,small,NA,NA
CAT030,0,0,0,,NIH,Ankarana_Cathedral,Ankarana,-12.9435,49.0555,84,2019-11-05,2019,Eidolon dupreanum,male,A,no,no,NA,NA,315,20.8,133.4,64.1,32,13.8,13.1,333.6076393,-18.6076393
CAT031,0,0,0,,NIH,Ankarana_Cathedral,Ankarana,-12.9435,49.0555,84,2019-11-05,2019,Eidolon dupreanum,female,NL,no,no,NA,NA,300,21.6,130.5,61.5,26.8,6.2,6.8,314.424125,-14.42412504
CAT034,0,0,0,,NIH,Ankarana_Cathedral,Ankarana,-12.9435,49.0555,84,2019-11-05,2019,Eidolon dupreanum,male,A,no,no,NA,NA,293,23,131.1,63.3,27.5,15.1,10.6,326.1642529,-33.16425288
CAT035,0,0,0,,NIH,Ankarana_Cathedral,Ankarana,-12.9435,49.0555,84,2019-11-05,2019,Eidolon dupreanum,male,A,no,no,NA,NA,296,22.8,133,62,29.5,12.5,14.1,332.3103752,-36.31037524
CAT037,0,0,0,,NIH,Ankarana_Cathedral,Ankarana,-12.9435,49.0555,84,2019-11-05,2019,Eidolon dupreanum,female,NL,no,no,NA,NA,318,21.3,135.1,65,28.6,10.7,9.8,330.0039974,-12.00399744
KEL101,0,0,0,,NIH,Angavokely,AngavoKely,-18.9327,47.7578,26,2015-04-28,2015,Eidolon dupreanum,female,NL,NA,NA,NA,NA,360,22.8,130,65.6,32.2,3.3,7.8,NA,NA
KEL103,0,0,0,,NIH,Angavokely,AngavoKely,-18.9327,47.7578,26,2015-04-28,2015,Eidolon dupreanum,female,NL,NA,NA,NA,NA,300,20.9,132.8,65.1,29.6,5.8,12.2,NA,NA
KEL106,0,0,0,,NIH,Angavokely,AngavoKely,-18.9327,47.7578,26,2015-04-28,2015,Eidolon dupreanum,female,NL,NA,NA,NA,NA,300,21,133,65.1,29.35,small,NA,NA,NA
KEL108,0,0,0,,NIH,Angavokely,AngavoKely,-18.9327,47.7578,26,2015-04-28,2015,Eidolon dupreanum,female,NL,NA,NA,NA,NA,310,20.4,134,64.41,27.81,5.96,6.84,NA,NA
KEL124,0,0,0,,NIH,Angavokely,AngavoKely,-18.9327,47.7578,31,2015-06-24,2015,Eidolon dupreanum,male,A,NA,NA,NA,NA,360,21.2,127.4,61.2,33.9,7.1,8.12,NA,NA
KEL125,0,0,0,,NIH,Angavokely,AngavoKely,-18.9327,47.7578,31,2015-06-24,2015,Eidolon dupreanum,male,A,NA,NA,NA,NA,350,20.7,130.2,64,29.2,8.4,9.3,NA,NA
KEL128,0,0,0,,NIH,Angavokely,AngavoKely,-18.9327,47.7578,31,2015-06-24,2015,Eidolon dupreanum,male,A,NA,NA,NA,NA,330,23.1,129,61.6,23.9,3.7,5.3,NA,NA
KEL13,0,0,0,,NIH,Angavokely,AngavoKely,-18.9327,47.7578,5,2013-11-26,2013,Eidolon dupreanum,male,A,NA,NA,NA,NA,300,18.5,120,55,31,NA,NA,NA,NA
KEL134,0,0,0,,NIH,Angavokely,AngavoKely,-18.9327,47.7578,34,2016-01-10,2016,Eidolon dupreanum,male,A,NA,NA,NA,NA,320,23.7,128.2,61.5,25,16.3,23.1,NA,NA
KEL138,0,0,0,,NIH,Angavokely,AngavoKely,-18.9327,47.7578,34,2016-01-10,2016,Eidolon dupreanum,female,NL,NA,NA,NA,NA,320,22.7,133.8,56.47,27.6,7.6,9.6,NA,NA
KEL140,0,0,0,,CZID/NIH,Angavokely,AngavoKely,-18.9327,47.7578,34,2016-01-10,2016,Eidolon dupreanum,male,A,NA,NA,NA,NA,320,22.5,131.3,64.63,33.24,17,19.49,NA,NA
KEL141,0,0,0,,CZID,Angavokely,AngavoKely,-18.9327,47.7578,34,2016-01-10,2016,Eidolon dupreanum,female,NL,NA,NA,NA,NA,312,21.5,126,58.8,31.35,5.81,8.11,NA,NA
KEL145,0,0,0,,NIH,Angavokely,AngavoKely,-18.9327,47.7578,34,2016-01-10,2016,Eidolon dupreanum,female,NL,NA,NA,NA,NA,440,22.5,133.6,63.05,30.66,5.71,9.66,NA,NA
KEL148,1,0,1,Kunsagivirus/Hepatovirus,CZID,Angavokely,AngavoKely,-18.9327,47.7578,38,2018-02-15,2018,Eidolon dupreanum,male,A,no,no,NA,NA,350,21,127,61.9,29,15.9,17.2,312.9920015,37.0079985
KEL149,0,0,0,,CZID/NIH,Angavokely,AngavoKely,-18.9327,47.7578,38,2018-02-15,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,380,22,128.5,65.2,26.9,7.2,9.7,307.7173758,72.28262422
KEL150,0,0,0,,CZID,Angavokely,AngavoKely,-18.9327,47.7578,38,2018-02-15,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,335,21.3,130.9,62.2,24.5,6.55,8.76,315.770387,19.22961304
KEL151,0,0,0,,CZID,Angavokely,AngavoKely,-18.9327,47.7578,38,2018-02-15,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,330,21.1,124.3,63.4,29.9,8.4,11,293.7678286,36.23217136
KEL152,0,0,0,,CZID,Angavokely,AngavoKely,-18.9327,47.7578,38,2018-02-15,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,350,20.5,128.8,60.8,26.4,6.8,8.4,308.7207701,41.27922989
KEL153,0,0,0,,CZID/NIH,Angavokely,AngavoKely,-18.9327,47.7578,38,2018-02-15,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,360,21,123,56.8,23.9,10.4,10.9,289.4875206,70.51247942
KEL154,0,0,0,,CZID/NIH,Angavokely,AngavoKely,-18.9327,47.7578,38,2018-02-15,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,340,21.8,130,64.9,29.1,6.9,8.6,312.7435948,27.25640518
KEL155,0,0,0,,CZID,Angavokely,AngavoKely,-18.9327,47.7578,38,2018-02-15,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,340,19.8,122.8,59.4,33.6,9.9,12.8,288.8305957,51.16940426
KEL156,0,0,0,,CZID/NIH,Angavokely,AngavoKely,-18.9327,47.7578,38,2018-02-15,2018,Eidolon dupreanum,male,A,no,no,NA,NA,320,20.8,111.6,48.2,33.7,3,4.5,264.6649589,55.3350411
KEL157,0,0,0,,CZID/NIH,Angavokely,AngavoKely,-18.9327,47.7578,38,2018-02-15,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,380,21.8,131.4,65.1,30.1,8.8,13.7,317.4555066,62.54449341
KEL158,0,0,0,,CZID,Angavokely,AngavoKely,-18.9327,47.7578,38,2018-02-15,2018,Eidolon dupreanum,female,J,yes,no,NA,NA,295,19.8,130.1,56.6,31,2.1,4.2,NA,NA
KEL159,0,0,0,,CZID/NIH,Angavokely,AngavoKely,-18.9327,47.7578,38,2018-02-15,2018,Eidolon dupreanum,male,J,yes,no,NA,NA,275,21.6,122.3,58.2,22,small,small,NA,NA
KEL160,0,0,0,,CZID,Angavokely,AngavoKely,-18.9327,47.7578,38,2018-02-15,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,325,21.9,120.9,58,29.1,7.3,11.1,282.6109962,42.38900384
KEL161,0,0,0,,CZID/NIH,Angavokely,AngavoKely,-18.9327,47.7578,38,2018-02-15,2018,Eidolon dupreanum,male,A,no,no,NA,NA,360,23.9,131.08,57.4,20.5,15.8,17.9,326.099697,33.90030302
KEL162,0,0,0,,CZID,Angavokely,AngavoKely,-18.9327,47.7578,38,2018-02-15,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,400,22.8,128.8,62.7,28.1,8,10.5,308.7207701,91.27922989
KEL163,0,0,0,,CZID/NIH,Angavokely,AngavoKely,-18.9327,47.7578,38,2018-02-15,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,360,21.2,127,63.4,27.9,5.4,11.4,302.7143405,57.28565952
KEL164,1,0,1,Teschovirus,CZID,Angavokely,AngavoKely,-18.9327,47.7578,38,2018-02-15,2018,Eidolon dupreanum,female,J,yes,no,NA,NA,230,19.2,112.9,52.6,26.8,small,small,NA,NA
KEL165,0,0,0,,CZID/NIH,Angavokely,AngavoKely,-18.9327,47.7578,38,2018-02-15,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,355,20.8,124.6,61.4,29.2,8.7,10.7,294.7581192,60.24188081
KEL166,0,1,1,Sapovirus,CZID/NIH,Angavokely,AngavoKely,-18.9327,47.7578,38,2018-02-15,2018,Eidolon dupreanum,female,J,yes,no,NA,NA,220,18.3,109.3,49.8,27.8,small,small,NA,NA
KEL167,0,0,0,,CZID,Angavokely,AngavoKely,-18.9327,47.7578,38,2018-02-15,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,300,19.4,126,67,30.1,6.3,9.6,299.3919448,0.608055184
KEL168,0,1,1,Sapovirus,CZID/NIH,Angavokely,AngavoKely,-18.9327,47.7578,38,2018-02-15,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,330,20.8,129.6,62.6,25.2,8.9,9.4,311.4010121,18.59898791
KEL169,0,0,0,,CZID,Angavokely,AngavoKely,-18.9327,47.7578,38,2018-02-15,2018,Eidolon dupreanum,male,J,yes,no,NA,NA,205,17.9,107.7,53.1,25.7,small,small,NA,NA
KEL170,0,0,0,,CZID/NIH,Angavokely,AngavoKely,-18.9327,47.7578,38,2018-02-15,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,355,19.5,124.3,59.1,28.4,8.2,11.1,293.7678286,61.23217136
KEL171,0,0,0,,CZID/NIH,Angavokely,AngavoKely,-18.9327,47.7578,38,2018-02-15,2018,Eidolon dupreanum,male,J,yes,no,NA,NA,200,18.2,106.8,49.4,29.3,small,small,NA,NA
KEL172,0,0,0,,CZID,Angavokely,AngavoKely,-18.9327,47.7578,38,2018-02-15,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,360,18.8,134.3,60.2,31.9,7.9,10.3,327.2791353,32.72086466
KEL173,0,0,0,,CZID,Angavokely,AngavoKely,-18.9327,47.7578,38,2018-02-15,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,315,21.6,129.9,64,31.4,9.3,10.5,312.4077955,2.592204454
KEL174,0,0,0,,CZID/NIH,Angavokely,AngavoKely,-18.9327,47.7578,38,2018-02-16,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,300,20.6,122.8,58.6,22.9,7.4,8.2,288.8305957,11.16940426
KEL175,0,0,0,,CZID,Angavokely,AngavoKely,-18.9327,47.7578,38,2018-02-16,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,330,20.8,133.9,64.3,29.1,11.7,15.4,325.9191107,4.080889311
KEL176,0,0,0,,CZID,Angavokely,AngavoKely,-18.9327,47.7578,38,2018-02-16,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,355,21.2,132.3,61.9,27,9.2,11.1,320.4951225,34.50487752
KEL177,0,0,0,,CZID/NIH,Angavokely,AngavoKely,-18.9327,47.7578,38,2018-02-16,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,300,19,123.8,60.6,27.3,6.7,8.5,292.1194476,7.880552379
KEL178,0,0,0,,CZID/NIH,Angavokely,AngavoKely,-18.9327,47.7578,38,2018-02-16,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,360,20.3,126,64.4,24.9,9.2,12.2,299.3919448,60.60805518
KEL179,0,0,0,,CZID/NIH,Angavokely,AngavoKely,-18.9327,47.7578,38,2018-02-16,2018,Eidolon dupreanum,male,A,no,no,NA,NA,310,20.6,130.5,58.9,30.9,22.7,24.5,324.2288517,-14.22885172
KEL180,0,0,0,,CZID,Angavokely,AngavoKely,-18.9327,47.7578,42,2018-04-09,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,270,21,128.3,62.5,22.3,3.5,0,307.0489613,-37.04896133
KEL181,0,0,0,,CZID,Angavokely,AngavoKely,-18.9327,47.7578,42,2018-04-09,2018,Eidolon dupreanum,male,A,no,no,NA,NA,350,22.5,132.4,73.8,42.3,35.5,31.6,330.3666547,19.63334528
KEL182,0,0,0,,CZID/NIH,Angavokely,AngavoKely,-18.9327,47.7578,42,2018-04-09,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,310,21,124.9,57.9,24.3,8.2,7.7,295.7493545,14.25064551
KEL183,0,0,0,,CZID/NIH,Angavokely,AngavoKely,-18.9327,47.7578,42,2018-04-09,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,245,22,132.2,62.6,21.6,9.6,7.4,320.1569818,-75.1569818
KEL184,0,0,0,,CZID/NIH,Angavokely,AngavoKely,-18.9327,47.7578,42,2018-04-09,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,295,21,129.25,63.4,30.6,8.9,7.5,310.2275975,-15.22759753
KEL185,0,0,0,,CZID,Angavokely,AngavoKely,-18.9327,47.7578,42,2018-04-10,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,345,23,130.4,59.3,23.3,9,7.4,314.0878146,30.91218535
KEL186,0,0,0,,CZID/NIH,Angavokely,AngavoKely,-18.9327,47.7578,42,2018-04-10,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,265,20.5,131.1,59.7,23.9,7.2,5.9,316.4441295,-51.44412946
KEL187,0,0,0,,CZID/NIH,Angavokely,AngavoKely,-18.9327,47.7578,42,2018-04-10,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,320,23,131.6,61.8,24.7,7.1,6.8,318.1302664,1.869733627
KEL188,0,0,0,,CZID,Angavokely,AngavoKely,-18.9327,47.7578,42,2018-04-10,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,330,22,128.1,61.2,24.4,8.8,5.9,306.3809594,23.61904058
KEL189,0,0,0,,CZID/NIH,Angavokely,AngavoKely,-18.9327,47.7578,42,2018-04-10,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,320,22,128.9,64.2,24.3,9.3,6.2,309.0554407,10.94455926
KEL190,0,0,0,,CZID,Angavokely,AngavoKely,-18.9327,47.7578,42,2018-04-10,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,310,21.5,129.6,59.5,24.6,8.9,6.5,311.4010121,-1.401012093
KEL191,0,0,0,,CZID,Angavokely,AngavoKely,-18.9327,47.7578,42,2018-04-10,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,325,23,134,67.8,26.6,9.6,7.5,326.2589662,-1.258966203
KEL192,0,0,0,,CZID/NIH,Angavokely,AngavoKely,-18.9327,47.7578,42,2018-04-10,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,315,22,130.3,61,27.6,7.6,7.4,313.7516064,1.248393621
KEL193,0,0,0,,CZID/NIH,Angavokely,AngavoKely,-18.9327,47.7578,42,2018-04-10,2018,Eidolon dupreanum,female,J,yes,no,NA,NA,300,22.5,127.2,64.4,25.4,2.3,1.7,NA,NA
KEL194,0,0,0,,CZID/NIH,Angavokely,AngavoKely,-18.9327,47.7578,42,2018-04-10,2018,Eidolon dupreanum,female,NL,no,no,NA,NA,345,21.5,129,62.2,26.2,8.8,6.7,309.3902142,35.60978578
KEL195,0,0,0,,CZID,Angavokely,AngavoKely,-18.9327,47.7578,42,2018-04-10,2018,Eidolon dupreanum,male,A,no,no,NA,NA,350,21,130.7,62.4,25.7,21.7,12.3,324.873692,25.126308
