Accession,Isolate,Species,Genus,Family,Country,source,Host,Collection_Date,novel
MK376268.1,700919_RSA_2013,Enterovirus B,Enterovirus,Picornaviridae,South Africa,Homo sapiens,0,2013,0
MK989713.1,,Enterovirus C,Enterovirus,Picornaviridae,Kenya,Homo sapiens,0,2015,0
MK989714.1,,Enterovirus A,Enterovirus,Picornaviridae,Kenya,Homo sapiens,0,2015,0
MK989717.1,,Enterovirus C,Enterovirus,Picornaviridae,Kenya,Homo sapiens,0,2010,0
MK989723.1,,Enterovirus D,Enterovirus,Picornaviridae,Kenya,Homo sapiens,0,2015,0
MK989734.1,,Rhinovirus A,Enterovirus,Picornaviridae,Kenya,Homo sapiens,0,2015,0
MK989737.1,,Rhinovirus A,Enterovirus,Picornaviridae,Kenya,Homo sapiens,0,2009,0
MK989740.1,,Rhinovirus A,Enterovirus,Picornaviridae,Kenya,Homo sapiens,0,2010,0
MK989743.1,,Rhinovirus B,Enterovirus,Picornaviridae,Kenya,Homo sapiens,0,2015,0
MK989744.1,,Rhinovirus B,Enterovirus,Picornaviridae,Kenya,Homo sapiens,0,2009,0
MK989746.1,,Rhinovirus B,Enterovirus,Picornaviridae,Kenya,Homo sapiens,0,2010,0
MK989748.1,,Rhinovirus C,Enterovirus,Picornaviridae,Kenya,Homo sapiens,0,2015,0
MN103523.1,SAT2/NIG/1/14,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Nigeria,Bos taurus,0,2014,0
MN265386.1,,Parechovirus A,Parechovirus,Picornaviridae,Niger,Homo sapiens,0,2013,0
MN265403.1,CR_01,Enterovirus J,Enterovirus,Picornaviridae,Nigeria,Mandrillus leucophaeus,0,2017,0
MN275118.1,SAT1/CAR/154/2016,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Cameroon,Bos taurus,0,2016,0
MN307882.1,,Parechovirus A,Parechovirus,Picornaviridae,Nigeria,Homo sapiens,0,2017,0
MN442540.1,SAT1-KNP/196/91-Recombinant,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,South Africa,Syncerus caffer,0,1991,0
MN650196.1,NGR_2018,Enterovirus F,Enterovirus,Picornaviridae,Nigeria,Sewage,0,2018,0
MN657230.1,E11-NHP-RD31,Enterovirus B,Enterovirus,Picornaviridae,Nigeria,Primate,0,2016,0
MN784122.1,,Sapelovirus A,Sapelovirus,Picornaviridae,Nigeria,Mandrillus leucophaeus,0,2017,0
MN784123.1,,Cosavirus F,Cosavirus,Picornaviridae,Nigeria,Mandrillus leucophaeus,0,2017,0
MN914196.1,,Enterovirus C,Enterovirus,Picornaviridae,Malawi,Homo sapiens,0,2003,0
MN914201.1,,Enterovirus C,Enterovirus,Picornaviridae,Malawi,Homo sapiens,0,2004,0
MT081370.1,,Enterovirus D,Enterovirus,Picornaviridae,Angola,Homo sapiens,0,2010,0
MT432082.1,CAF-19-RS1-BIM-033-CC,Enterovirus C,Enterovirus,Picornaviridae,Central African Republic,Homo sapiens,0,2019,0
MT542698.1,,Enterovirus E,Enterovirus,Picornaviridae,Nigeria,Wasetwater,0,2018,0
MT569434.1,Cpz-IJC08,Enterovirus C,Enterovirus,Picornaviridae,Republic of the Congo,Pan troglodytes troglodytes,0,2011,0
MT602077.1,ETH/2/2018,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Ethiopia,Bos taurus,0,2018,0
MT602078.1,ETH/19/2019,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Ethiopia,Bos taurus,0,2019,0
MT602079.1,SUD/9/2018,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Sudan,Bos taurus,0,2018,0
MT602080.1,UGA/28/2019,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Uganda,Bos taurus,0,2019,0
MT602081.1,ETH/4/2015,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Ethiopia,Bos taurus,0,2015,0
MT602082.1,ETH/30/2016,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Ethiopia,Bos taurus,0,2016,0
MT602085.1,KEN/10/2013,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Kenya,Bos taurus,0,2013,0
MT602087.1,TAN/22/2013,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Tanzania,Bos taurus,0,2013,0
MT602088.1,TAN/22/2014,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Tanzania,Bos taurus,0,2014,0
MT602089.1,EGY/1/2018,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Egypt,Bos taurus,0,2018,0
MT602092.1,KEN/19/2017,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Kenya,Bos taurus,0,2017,0
MW355668.1,TAN/3/80,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Tanzania,Bos taurus,0,1980,0
MW355669.1,ZAM/2/88,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Zambia,Bos taurus,0,1988,0
MW355670.1,BOT-BUFF/7/72,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Botswana,Syncerus caffer,0,1972,0
MW355671.1,MOZ/1/70,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Mozambique,Unknown,0,1970,0
MW355672.1,ZAM-BUFF/18/74,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Zambia,Syncerus caffer,0,1974,0
MW355673.1,ZIM/8/89,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Zimbabwe,Bos taurus,0,1989,0
MW355674.1,BOT/209/67,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Botswana,Bos taurus,0,1967,0
MW355675.1,RHO/3/75,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Zimbabwe,Bos taurus,0,1975,0
MW355676.1,RHO/26/76,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Zimbabwe,Bos taurus,0,1976,0
MW355677.1,SAR/9/79,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,South Africa,Bos taurus,0,1979,0
MW355678.1,ZAM/P2/96 MUL-4,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Zambia,Syncerus caffer,0,1996,0
MW355679.1,ZIM/P26/90 HV-5,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Zimbabwe,Syncerus caffer,0,1990,0
MW355680.1,ZIM/P25/91 UR-7,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Zimbabwe,Syncerus caffer,0,1991,0
MW373875.1,ADA-18-059-001,Human enterovirus,Enterovirus,Picornaviridae,Nigeria,Sewage,0,2018,0
MW384880.1,D94-NIG-14-534,Enterovirus D,Enterovirus,Picornaviridae,Niger,Homo sapiens,0,2014,0
MW384881.1,D111-NGR-KAT-1263,Enterovirus D,Enterovirus,Picornaviridae,Nigeria,Sewage,0,2017,0
MW713747.1,7002,Rhinovirus A,Enterovirus,Picornaviridae,Kenya,Homo sapiens,0,2016,0
MW713760.1,7068,Rhinovirus A,Enterovirus,Picornaviridae,Kenya,Homo sapiens,0,2017,0
MW876511.1,K-UT-18-Q3,Enterovirus sp.,Enterovirus,Picornaviridae,Uganda,Pan troglodytes schweinfurthii,0,2018,0
MW876512.1,K-UM-16-Q1,Salivirus sp.,Salivirus,Picornaviridae,Uganda,Pan troglodytes schweinfurthii,0,2016,0
MZ004919.1,,Avihepatovirus A,Avihepatovirus,Picornaviridae,Egypt,Anas platyrhynchos,0,2019,0
MZ004920.1,,Avihepatovirus A,Avihepatovirus,Picornaviridae,Egypt,Anas platyrhynchos,0,2018,0
MZ004922.1,,Avihepatovirus A,Avihepatovirus,Picornaviridae,Egypt,Anas platyrhynchos,0,2020,0
MZ291982.1,G20_120,Picornaviridae sp.,Unclassified,Picornaviridae,Cameroon,Shellfish,0,2020,0
MZ291988.1,G20_12,Kobuvirus sp.,Kobuvirus,Picornaviridae,Cameroon,Shellfish,0,2020,0
NC_012957.1,,Salivirus A,Salivirus,Picornaviridae,Nigeria,Homo sapiens,0,2007,0
NC_024070.1,,Rosavirus A,Rosavirus,Picornaviridae,Gambia,Homo sapiens,0,2008,0
NC_024073.1,CPML_8109/08,Enterovirus sp.,Enterovirus,Picornaviridae,Cameroon,Mandrillus sphinx,0,2008,0
NC_025474.1,,Crohivirus A,Crohivirus,Picornaviridae,Zambia,Crocidura hirta,0,2012,0
NC_026470.1,PREDICT-06105,Mischivirus C,Mischivirus,Picornaviridae,DRC,Macronycteris gigas,1,2013,0
NC_028366.1,M32Eidhel2010,Hepatovirus H,Hepatovirus,Picornaviridae,Ghana,Eidolon helvum,1,2010,0
NC_030886.1,GCCDC1 356,Rousettus bat coronavirus GCCDC1,Coronavirus,Coronaviridae,China,Rousettus leschenaulti,1,2018,0
NC_033818.1,,Kunsagivirus B,Kunsagivirus,Picornaviridae,Cameroon,Eidolon helvum,1,2013,0
NC_033819.1,,Crohivirus B,Crohivirus,Picornaviridae,Cameroon,Eidolon helvum,1,2013,0
NC_033820.1,,Bat sapelovirus,Sapelovirus,Picornaviridae,Cameroon,Eidolon helvum,1,2013,0
NC_034206.1,baboon/M27-KuV/1986/TAN,Kunsagivirus C,Kunsagivirus,Picornaviridae,Tanzania,Papio cynocephalus,0,1986,0
NC_038313.1,SMG18520Minmav2014,Hepatovirus C,Hepatovirus,Picornaviridae,Madagascar,Miniopterus,1,2014,0
NC_038314.1,CIV459Lopsik2004,Hepatovirus E,Hepatovirus,Picornaviridae,Cote d'Ivoire,Lophuromys sikapusi,0,2004,0
NC_038316.1,BUO2BF86Colafr2010,Hepatovirus G,Hepatovirus,Picornaviridae,Ghana,Coleura afra,1,2010,0
OK570192.1,,Enterovirus C,Enterovirus,Picornaviridae,Madagascar,Homo sapiens,0,2011,0
OM022642.1,O/NIG/PL/NV/2018,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Nigeria,Bos taurus,0,2018,0
OM022644.1,O/NIG/PL/BLD/02A/2017,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Nigeria,Bos taurus,0,2017,0
OM104039.1,BSF3,Sapelovirus A,Sapelovirus,Picornaviridae,South Africa,Sus scrofa domesticus,0,2021,0
OM105002.1,BSF2,Aichivirus C,Kobuvirus,Picornaviridae,South Africa,Sus scrofa domesticus,0,2021,0
OM105026.1,BSF2,Tottorivirus A,Tottorivirus,Picornaviridae,South Africa,Sus scrofa domesticus,0,2021,0
OM105027.1,BSF2,Pasivirus A,Pasivirus,Picornaviridae,South Africa,Sus scrofa domesticus,0,2021,0
OM105028.1,BSF2,Enterovirus G,Enterovirus,Picornaviridae,South Africa,Sus scrofa domesticus,0,2021,0
OM105029.1,BSF2,Teschovirus A,Teschovirus,Picornaviridae,South Africa,Sus scrofa domesticus,0,2021,0
OM160610.1,,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Tunisia,Bos taurus,0,2014,0
OM160621.1,,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Algeria,Bos taurus,0,2014,0
OM160625.1,,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Algeria,Ovis aries,0,2015,0
OM562453.1,,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Kenya,Bos taurus,0,2016,0
OM863580.1,EGY/18/2012,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Egypt,Bos taurus,0,2012,0
OM863581.1,KEN/5/2012,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Kenya,Bos taurus,0,2012,0
OM863582.1,KEN/80/2010,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Kenya,Bos taurus,0,2010,0
OM863583.1,KEN/4/2013,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Kenya,Bos taurus,0,2013,0
OM863584.1,SUD/3/2013,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Sudan,Bos taurus,0,2013,0
OM966657.1,BSF3,Teschovirus A,Teschovirus,Picornaviridae,South Africa,Sus scrofa domesticus,0,2021,0
ON191507.1,,Enterovirus A,Enterovirus,Picornaviridae,Senegal,Homo sapiens,0,2016,0
ON191510.1,,Enterovirus A,Enterovirus,Picornaviridae,Senegal,Homo sapiens,0,2018,0
ON191511.1,,Enterovirus A,Enterovirus,Picornaviridae,Senegal,Homo sapiens,0,2019,0
ON245423.1,,Enterovirus B,Enterovirus,Picornaviridae,Nigeria,Homo sapiens,0,2019,0
ON245424.1,,Hepatovirus A,Hepatovirus,Picornaviridae,Nigeria,Homo sapiens,0,2019,0
ON304044.1,K-OM-16-Q4,Enterovirus sp.,Enterovirus,Picornaviridae,Uganda,Pan troglodytes,0,2016,0
ON304045.1,K-OU-17-Q2,Enterovirus sp.,Enterovirus,Picornaviridae,Uganda,Pan troglodytes,0,2017,0
ON557390.1,ZAM/3/2015,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Zambia,Bos taurus,0,2015,0
ON596331.1,NIE/BOR/16-6,Enterovirus C,Enterovirus,Picornaviridae,Nigeria,Homo sapiens,0,2016,0
ON596332.1,NIE/KAD/17-2,Enterovirus C,Enterovirus,Picornaviridae,Nigeria,Homo sapiens,0,2017,0
ON736860.1,ALB _F2_004_P,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Uganda,Bos taurus,0,2015,0
OP114090.1,UFS-NGS_UNIT_Summer_SARI_B-Series,Rhinovirus A,Enterovirus,Picornaviridae,South Africa,Homo sapiens,0,2021,0
OP114092.1,UFS-NGS_UNIT_Summer_SARI_E-Series,Rhinovirus C,Enterovirus,Picornaviridae,South Africa,Homo sapiens,0,2021,0
OP287812.1,FEC145,Eidolon dupreanum kobuvirus,Kobuvirus,Picornaviridae,Madagascar,Eidolon dupreanum,1,2018,0
OP778142.1,Uganda 2010,Cardiovirus B,Cardiovirus,Picornaviridae,Uganda,Homo sapiens,0,2010,0
OQ302224.1,RL314,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Egypt,Bos taurus,0,2022,0
OQ557396.1,ETH/2/91,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Ethiopia,Bos taurus,0,1991,0
OQ557397.1,ETH/2/2022,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Ethiopia,Bos taurus,0,2022,0
OQ835739.1,,Picornaviridae sp.,Unclassified,Picornaviridae,Cameroon,Homo sapiens,0,2017,0
OQ941577.1,EA-3,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Nigeria,Bos taurus,0,2020,0
OR075000.1,b6,Enterovirus B,Enterovirus,Picornaviridae,Nigeria,Homo sapiens,0,2020,0
OR350266.1,F14,African cichlid picornavirus,Unclassified,Picornaviridae,Zambia,Neolamprologus caudopunctatus,0,2014,0
OQ818316,,Unclassified,Mischivirus,Picornaviridae,Madagascar,Pteropus rufus,1,2018,1
OQ818317,,Unclassified,Kunsagivirus,Picornaviridae,Madagascar,Eidolon dupreanum,1,2018,1
OQ818318,KEL164,Unclassified,Teschovirus,Picornaviridae,Madagascar,Eidolon dupreanum,1,2018,1
OQ818320,KEL233,Unclassified,Sapelovirus,Picornaviridae,Madagascar,Eidolon dupreanum,1,2018,1
OQ818321,KEL272,Unclassified,Sapelovirus,Picornaviridae,Madagascar,Eidolon dupreanum,1,2019,1
OQ818322,KEL318,Unclassified,Kobuvirus,Picornaviridae,Madagascar,Eidolon dupreanum,1,2019,1
OQ818323,MIZ190,Unclassified,Teschovirus,Picornaviridae,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818324,MIZ205,Unclassified,Teschovirus,Picornaviridae,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818325,MIZ214,Unclassified,Roupivirus,Picornaviridae,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818328,MIZ240,Unclassified,Roupivirus,Picornaviridae,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818329,,Unclassified,Sapelovirus,Picornaviridae,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818337,,Unclassified,Hepatovirus,Picornaviridae,Madagascar,Eidolon dupreanum,1,2018,1
OQ818342,KEL273,Unclassified,Sapelovirus,Picornaviridae,Madagascar,Eidolon dupreanum,1,2019,1
OQ818344,KEL298,Unclassified,Sapelovirus,Picornaviridae,Madagascar,Eidolon dupreanum,1,2019,1
OQ818346,MIZ194,Unclassified,Roupivirus,Picornaviridae,Madagascar,Rousettus madagascariensis,1,2018,1
