Accession,old_tip_label,Isolate,Species,Genus,Family,Country,Host,bat_Host,Collection_Date,novel
NC_026733.1,NC_026733.1,Ohio,Graminella nigrifrons virus 1,Iflavirus,Iflaviridae,USA,Graminella nigrifrons,0,2014,0
NC_026921.1,NC_026921.1,,Harkavirus A,Harkavirus,Picornaviridae,Hungary,Falco tinnunculus,0,2013,0
NC_027026.1,NC_027026.1,,Sapporo virus,Sapovirus,Caliciviridae,Japan,Homo sapiens,0,2012,0
NC_027054.1,NC_027054.1,JS-02a-CHN/2014/China,Aichivirus C,Kobuvirus,Picornaviridae,China,Sus scrofa,0,2014,0
NC_027122.1,NC_027122.1,,Vesivirus ferret badger/JX12/China/2012,Vesivirus,Caliciviridae,China,Melogale,0,2012,0
NC_027128.1,NC_027128.1,MAT03,La Jolla virus,Iflavirus,Iflaviridae,Ghana,Insecta,0,2010,0
NC_027214.1,NC_027214.1,,Ampivirus A,Ampivirus,Picornaviridae,Hungary,Lissotriton vulgaris,0,2013,0
NC_027713.1,NC_027713.1,,Bombyx mori iflavirus,Iflavirus,Iflaviridae,Japan,Bombyx mori,0,2014,0
NC_027818.1,NC_027818.1,,Hepatovirus B,Hepatovirus,Picornaviridae,USA,Phoca vitulina,0,2011,0
NC_027915.1,NC_027915.1,CT1,Bellflower vein chlorosis virus,Waikavirus,Secoviridae,South Korea,Campanula takesimana,0,2014,0
NC_027917.1,NC_027917.1,Brazilian/2012,Opsiphanes invirae iflavirus 1,Iflavirus,Iflaviridae,Brazil,Opsiphanes invirae,0,2012,0
NC_027918.1,NC_027918.1,,Kobuvirus cattle/Kagoshima-2-24-KoV/2015/JPN,Kobuvirus,Picornaviridae,Japan,Bos taurus,0,2015,0
NC_027919.1,NC_027919.1,,Aichivirus D,Kobuvirus,Picornaviridae,Japan,Bos taurus,0,2014,0
NC_027926.1,NC_027926.1,R,Tomato necrotic dwarf virus,Torradovirus,Secoviridae,USA,Solanum lycopersicum,0,1988,0
NC_028139.1,NC_028139.1,Parana,Bean rugose mosaic virus,Comovirus,Secoviridae,Brazil,Glycine max,0,2015,0
NC_028363.1,NC_028363.1,RMU101637Micarv2010,Hepatovirus D,Hepatovirus,Picornaviridae,Germany,Microtus arvalis,0,2010,0
NC_028364.1,NC_028364.1,KS121232Sorara2012,Hepatovirus I,Hepatovirus,Picornaviridae,Germany,Sorex araneus,0,2012,0
NC_028365.1,NC_028365.1,Igel8Erieur2014,Hepatovirus H,Hepatovirus,Picornaviridae,Germany,Erinaceus europaeus,0,2014,0
NC_028366.1,NC_028366.1,M32Eidhel2010,Hepatovirus H,Hepatovirus,Picornaviridae,Ghana,Eidolon helvum,1,2010,0
NC_028380.1,NC_028380.1,JSY,Sicinivirus A,Sicinivirus,Picornaviridae,China,Gallus gallus,0,2015,0
NC_028964.1,NC_028964.1,,Gallivirus Pf-CHK1/GV,Gallivirus,Picornaviridae,Hungary,Gallus gallus,0,2013,0
NC_028970.1,NC_028970.1,,Avisivirus Pf-CHK1/AsV,Avisivirus,Picornaviridae,Hungary,Gallus gallus,0,2013,0
NC_028981.1,NC_028981.1,TN1,Tupaia hepatovirus A,Hepatovirus,Picornaviridae,China,Tupaia chinensis,0,2012,0
NC_029038.1,NC_029038.1,,Currant latent virus,Cheravirus,Secoviridae,Czech Republic,Ribes rubrum,0,2015,0
NC_029052.1,NC_029052.1,UW1,Goose dicistrovirus,Dicistrovirus,Dicistroviridae,USA,Anatidae,0,2015,0
NC_029306.1,NC_029306.1,,Palmarnavirus 128,Salisharnavirus,Marnaviridae,Antarctica,environmental sample,0,2015,0
NC_029307.1,NC_029307.1,,Palmarnavirus 156,Sogarnavirus,Marnaviridae,Antarctica,environmental sample,0,2015,0
NC_029309.1,NC_029309.1,,Palmarnavirus 473,Salisharnavirus,Marnaviridae,Antarctica,environmental sample,0,2015,0
NC_029645.1,NC_029645.1,,Norwalk virus,Norovirus,Caliciviridae,Norway,Bos taurus,0,2006,0
NC_029646.1,NC_029646.1,,Norwalk virus,Norovirus,Caliciviridae,Vietnam,Homo sapiens,0,2006,0
NC_029647.1,NC_029647.1,,Norwalk virus,Norovirus,Caliciviridae,Australia,Homo sapiens,0,2010,0
NC_029854.1,NC_029854.1,,Yak enterovirus,Enterovirus,Picornaviridae,China,Bos grunniens,0,2014,0
NC_029905.1,NC_029905.1,SEV-gx,Enterovirus L,Enterovirus,Picornaviridae,China,Macaca mulatta,0,2016,0
NC_030454.1,NC_030454.1,,Enterovirus A,Enterovirus,Picornaviridae,India,Homo sapiens,0,2013,0
NC_030651.1,NC_030651.1,Florida initial,Nylanderia fulva virus 1,Nyfulvavirus,Solinviviridae,USA,Nylanderia fulva,0,2011,0
NC_030793.1,NC_030793.1,,Bovine calicivirus strain Kirklareli,Nebovirus,Caliciviridae,Turkey,Bos taurus,0,2012,0
NC_030843.1,NC_030843.1,,Washington bat picornavirus,Unclassified,Picornaviridae,USA,Chiroptera,1,2016,0
NC_030886.1,NC_030886.1,GCCDC1 356,Rousettus bat coronavirus GCCDC1,Coronavirus,Coronaviridae,China,Rousettus leschenaulti,1,2014,0
NC_031105.1,NC_031105.1,,Rosavirus B,Rosavirus,Picornaviridae,Hong Kong,Rattus norvegicus,0,2009,0
NC_031106.1,NC_031106.1,,Rosavirus C,Rosavirus,Picornaviridae,Hong Kong,Rattus andamanensis,0,2009,0
NC_031324.1,NC_031324.1,,Primate norovirus,Norovirus,Caliciviridae,USA,Pan troglodytes,0,2016,0
NC_031338.1,NC_031338.1,Big Island,Moku virus,Iflavirus,Iflaviridae,USA,Vespula pensylvanica,0,2016,0
NC_031687.1,NC_031687.1,,Centovirus,Centovirus,Dicistroviridae,USA,Culicidae,0,2016,0
NC_031688.1,NC_031688.1,,Centovirus,Centovirus,Dicistroviridae,USA,Culicidae,0,2016,0
NC_031749.1,NC_031749.1,,King virus,Unclassified,Iflaviridae,USA,Chiroptera,1,2016,0
NC_031766.1,NC_031766.1,goiana,Dioscorea mosaic associated virus,Sadwavirus,Secoviridae,Brazil,Dioscorea cayenensis subsp. rotundata,0,2015,0
NC_032087.1,NC_032087.1,to-1,Euscelidius variegatus virus 1,Iflavirus,Iflaviridae,Italy,Euscelidius variegatus,0,2016,0
NC_032112.1,NC_032112.1,,Bivalve RNA virus G1,Unclassified,Dicistroviridae,Italy,Bivalvia,0,2011,0
NC_032115.1,NC_032115.1,,Bivalve RNA virus G5,Unclassified,Dicistroviridae,Italy,Bivalvia,0,2011,0
NC_032126.1,NC_032126.1,,Livupivirus A,Livupivirus,Picornaviridae,Hungary,Lissotriton vulgaris,0,2014,0
NC_032222.1,NC_032222.1,,Hubei chipolycivirus,Chipolycivirus,Polycipiviridae,China,Araneae,0,2013,0
NC_032270.1,NC_032270.1,ND1,Soybean latent spherical virus,Nepovirus,Secoviridae,USA,Glycine max,0,2010,0
NC_032978.1,NC_032978.1,,Shuangao insect virus 8,Sopolycivirus,Polycipiviridae,China,Hexapoda,0,2013,0
NC_033081.1,NC_033081.1,,Bavaria virus,Bavovirus,Caliciviridae,Brazil,Gallus gallus,0,2015,0
NC_033152.1,NC_033152.1,,Hubei hupolycivirus,Hupolycivirus,Polycipiviridae,China,Odonata,0,2013,0
NC_033492.1,NC_033492.1,Brats01,Petunia chlorotic mottle virus,Nepovirus,Secoviridae,USA,Petunia x hybrida,0,2014,0
NC_033619.1,NC_033619.1,,Helicoverpa armigera iflavirus,Iflavirus,Iflaviridae,China,Helicoverpa armigera,0,2013,0
NC_033695.1,NC_033695.1,,Enterovirus AN12,Enterovirus,Picornaviridae,Japan,Bos taurus,0,2014,0
NC_033776.1,NC_033776.1,Bat-SaV/Limbe65/CAM/2014,Bat sapovirus,Sapovirus,Caliciviridae,Cameroon,Eidolon helvum,1,2014,0
NC_033793.1,NC_033793.1,HN56,Megrivirus A,Megrivirus,Picornaviridae,China,Anatidae,0,2014,0
NC_033818.1,NC_033818.1,,Kunsagivirus B,Kunsagivirus,Picornaviridae,Cameroon,Eidolon helvum,1,2013,0
NC_033819.1,NC_033819.1,,Crohivirus B,Crohivirus,Picornaviridae,Cameroon,Eidolon helvum,1,2013,0
NC_033820.1,NC_033820.1,,Bat sapelovirus,Sapelovirus,Picornaviridae,Cameroon,Eidolon helvum,1,2013,0
NC_033823.1,NC_033823.1,,Bat iflavirus,Iflavirus,Iflaviridae,Cameroon,Eidolon helvum,1,2013,0
NC_033824.1,NC_033824.1,,Bat dicibavirus,Salisharnavirus,Marnaviridae,Cameroon,Eidolon helvum,1,2013,0
NC_034206.1,NC_034206.1,baboon/M27-KuV/1986/TAN,Kunsagivirus C,Kunsagivirus,Picornaviridae,Tanzania,Papio cynocephalus,0,1986,0
NC_034217.1,NC_034217.1,UW1,Pityohyphantes rubrofasciatus iflavirus,Iflavirus,Iflaviridae,USA,Pityohyphantes rubrofasciatus,0,2016,0
NC_034245.1,NC_034245.1,,Bovine rhinovirus 1,Aphthovirus,Picornaviridae,USA,Bovinae,0,2014,0
NC_034267.1,NC_034267.1,JL14,Enterovirus goat/JL14,Enterovirus,Picornaviridae,China,Capra hircus,0,2014,0
NC_034381.1,NC_034381.1,,Mischivirus A,Mischivirus,Picornaviridae,China,Miniopterus schreibersii,1,2010,0
NC_034384.1,NC_034384.1,Guangzhou,Diamondback moth iflavirus,Iflavirus,Iflaviridae,China,Plutella xylostella,0,2016,0
NC_034385.1,NC_034385.1,,Cosavirus F,Cosavirus,Picornaviridae,Pakistan,Homo sapiens,0,2007,0
NC_034444.1,NC_034444.1,,Hom-1 vesivirus,Vesivirus,Caliciviridae,USA,Homo sapiens,0,2016,0
NC_034453.1,NC_034453.1,MpPeV1,Parechovirus D,Parechovirus,Picornaviridae,Netherlands,Mustela putorius furo,0,2013,0
NC_034617.1,NC_034617.1,,Megrivirus D,Megrivirus,Picornaviridae,Hungary,Circus aeruginosus,0,2017,0
NC_034971.1,NC_034971.1,SMCD-59,Canine kobuvirus,Kobuvirus,Picornaviridae,China,Canis lupus familiaris,0,2015,0
NC_034973.1,NC_034973.1,S6-IA,Aphis glycines virus 3,Cripavirus,Dicistroviridae,USA,Aphis glycines,0,2011,0
NC_035110.1,NC_035110.1,KGI-Bel-22,Fur seal picorna-like virus,Unclassified,Picornaviridae,Antarctica,Arctocephalus gazella,0,2015,0
NC_035115.1,NC_035115.1,AWD-1151,Apis dicistrovirus,Dicistrovirus,Dicistroviridae,Netherlands,Apis mellifera,0,2014,0
NC_035184.1,NC_035184.1,,Big Sioux River virus,Dicistrovirus,Dicistroviridae,Kenya,Aphis fabae,0,2014,0
NC_035198.1,NC_035198.1,,Aimelvirus 2,Unclassified,Picornaviridae,China,Ailuropoda melanoleuca,0,2017,0
NC_035214.1,NC_035214.1,5317015,Lettuce necrotic leaf curl virus,Torradovirus,Secoviridae,Netherlands,Lactuca sativa,0,2011,0
NC_035218.1,NC_035218.1,AD01,Motherwort yellow mottle virus,Torradovirus,Secoviridae,South Korea,Leonurus cardiaca,0,2012,0
NC_035221.1,NC_035221.1,Su12-10,Squash chlorotic leaf spot virus,Torradovirus,Secoviridae,Sudan,Cucurbita moschata,0,2012,0
NC_035450.1,NC_035450.1,Cambridge-Lne,Lasius neglectus virus 1,Sopolycivirus,Polycipiviridae,United Kingdom,Lasius neglectus,0,2017,0
NC_035455.1,NC_035455.1,Gainesville-Sin,Solenopsis invicta virus 4,Sopolycivirus,Polycipiviridae,USA,Solenopsis invicta,0,2017,0
NC_035457.1,NC_035457.1,Cambridge-Msc,Myrmica scabrinodis virus 1,Sopolycivirus,Polycipiviridae,United Kingdom,Myrmica scabrinodis,0,2017,0
NC_035675.1,NC_035675.1,FHMCV/USA/MN/2012,Minovirus A,Minovirus,Caliciviridae,USA,Pimephales promelas,0,2012,0
NC_035779.1,NC_035779.1,,Falcon picornavirus,Unclassified,Picornaviridae,Hungary,Falco vespertinus,0,2014,0
NC_036389.1,NC_036389.1,A14-49.4,Chequa iflavirus,Iflavirus,Iflaviridae,Australia,Cherax quadricarinatus,0,2014,0
NC_036585.1,NC_036585.1,,Armigeres iflavirus,Iflavirus,Iflaviridae,Philippines,Armigeres,0,2010,0
NC_036588.1,NC_036588.1,,Passerivirus sp.,Passerivirus,Picornaviridae,Hungary,Uraeginthus sp.,0,2014,0
NC_037654.1,NC_037654.1,LLT03,Sichuan takin enterovirus,Enterovirus,Picornaviridae,China,Budorcas taxicolor tibetana,0,2013,0
NC_038301.1,NC_038301.1,LlV-1,Lygus lineolaris virus 1,Iflavirus,Iflaviridae,USA,Lygus lineolaris,0,2008,0
NC_038302.1,NC_038302.1,Izumo,Nilaparvata lugens honeydew virus 1,Iflavirus,Iflaviridae,Japan,Nilaparvata lugens,0,2012,0
NC_038303.1,NC_038303.1,,Bovine rhinitis A virus,Aphthovirus,Picornaviridae,Germany,Bos taurus,0,1962,0
NC_038304.1,NC_038304.1,USA-IN1,Avisivirus A,Avisivirus,Picornaviridae,USA,Meleagris gallopavo,0,2010,0
NC_038305.1,NC_038305.1,BCV-1,Cardiovirus C,Cardiovirus,Picornaviridae,USA,Rattus norvegicus,0,2010,0
NC_038306.1,NC_038306.1,CA2,Enterovirus A,Enterovirus,Picornaviridae,USA,Homo sapiens,0,2019,0
NC_038307.1,NC_038307.1,,Enterovirus B,Enterovirus,Picornaviridae,USA,Homo sapiens,0,2018,0
NC_038308.1,NC_038308.1,,Enterovirus D,Enterovirus,Picornaviridae,USA,Homo sapiens,0,2003,0
NC_038309.1,NC_038309.1,,Enterovirus H,Enterovirus,Picornaviridae,USA,Simiiformes,0,2007,0
NC_038310.1,NC_038310.1,,Enterovirus I,Enterovirus,Picornaviridae,United Arab Emirates,Camelus dromedarius,0,2013,0
NC_038311.1,NC_038311.1,,Rhinovirus A,Enterovirus,Picornaviridae,USA,Homo sapiens,0,2008,0
NC_038312.1,NC_038312.1,,Rhinovirus B,Enterovirus,Picornaviridae,USA,Homo sapiens,0,2019,0
NC_038313.1,NC_038313.1,SMG18520Minmav2014,Hepatovirus C,Hepatovirus,Picornaviridae,Madagascar,Miniopterus,1,2014,0
NC_038314.1,NC_038314.1,CIV459Lopsik2004,Hepatovirus E,Hepatovirus,Picornaviridae,Cote d'Ivoire,Lophuromys sikapusi,0,2004,0
NC_038315.1,NC_038315.1,KEF121Sigmas2012,Hepatovirus F,Hepatovirus,Picornaviridae,Mexico,Sigmodon mascotensis,0,2012,0
NC_038316.1,NC_038316.1,BUO2BF86Colafr2010,Hepatovirus G,Hepatovirus,Picornaviridae,Ghana,Coleura afra,0,2010,0
NC_038317.1,NC_038317.1,,Kunsagivirus A,Kunsagivirus,Picornaviridae,Hungary,Coracias garrulus,0,2011,0
NC_038318.1,NC_038318.1,,Mosavirus A,Mosavirus,Picornaviridae,USA,Peromyscus crinitus,0,2011,0
NC_038319.1,NC_038319.1,,Parechovirus A,Parechovirus,Picornaviridae,Finland,Homo sapiens,0,2018,0
NC_038320.1,NC_038320.1,,Carrot necrotic dieback virus,Sequivirus,Secoviridae,Germany,Daucus carota,0,2006,0
NC_038321.1,NC_038321.1,,Chaetoceros tenuissimus RNA virus 01,Bacillarnavirus,Marnaviridae,Japan,Chaetoceros tenuissimus,0,2002,0
NC_038760.1,NC_038760.1,Beijing,Cucurbit mild mosaic virus,Fabavirus,Secoviridae,China,Cucurbita,0,2008,0
NC_038761.1,NC_038761.1,,Aeonium ringspot virus,Nepovirus,Secoviridae,Italy,Aeonium,0,2011,0
NC_038762.1,NC_038762.1,,Aeonium ringspot virus,Nepovirus,Secoviridae,Italy,Aeonium,0,2011,0
NC_038764.1,NC_038764.1,,Blueberry latent spherical virus,Nepovirus,Secoviridae,Japan,Vaccinium sect. Cyanococcus,0,2011,0
NC_038765.1,NC_038765.1,,Melon mild mottle virus,Nepovirus,Secoviridae,Japan,Cucumis melo,0,2011,0
NC_038767.1,NC_038767.1,zj,Mulberry mosaic leaf roll associated virus,Nepovirus,Secoviridae,China,Morus alba,0,2010,0
NC_038878.1,NC_038878.1,NAT001,Rhinovirus C,Enterovirus,Picornaviridae,USA,Homo sapiens,0,2001,0
NC_038880.1,NC_038880.1,,Rosavirus A,Rosavirus,Picornaviridae,USA,Peromyscus crinitus,0,2010,0
NC_038957.1,NC_038957.1,,Megrivirus B,Megrivirus,Picornaviridae,Hong Kong,Columbidae,0,2011,0
NC_038961.1,NC_038961.1,BtMf-PicoV-1/SAX2011,Shanbavirus A,Shanbavirus,Picornaviridae,China,Miniopterus fuliginosus,1,2011,0
NC_038989.1,NC_038989.1,rodent/Ee/PicoV/NX2015,Enterovirus K,Enterovirus,Picornaviridae,China,Rodentia,0,2016,0
NC_039004.1,NC_039004.1,KGI-Bel-P5/2015,Megrivirus E,Megrivirus,Picornaviridae,Antarctica,Pygoscelis adeliae,0,2015,0
NC_039073.1,NC_039073.1,NP,Grapevine fabavirus,Fabavirus,Secoviridae,USA,Vitis vinifera,0,2015,0
NC_039077.1,NC_039077.1,8816-v1,Prunus virus F,Fabavirus,Secoviridae,USA,Prunus avium,0,2016,0
NC_039209.1,NC_039209.1,,Equine rhinitis A virus,Aphthovirus,Picornaviridae,USA,Equus caballus,0,2005,0
NC_039210.1,NC_039210.1,o6pirbright iso58,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,United Kingdom,Homo sapiens,0,1965,0
NC_039212.1,NC_039212.1,FHMPV-1,Limnipivirus C,Limnipivirus,Picornaviridae,USA,Pimephales promelas,0,2011,0
NC_039235.1,NC_039235.1,,Megrivirus C,Megrivirus,Picornaviridae,Hungary,Gallus gallus,0,2012,0
NC_039236.1,NC_039236.1,Florida-Sin,Solenopsis invicta virus 2,Sopolycivirus,Polycipiviridae,USA,Solenopsis invicta,0,2017,0
NC_039475.1,NC_039475.1,,Norwalk virus,Norovirus,Caliciviridae,South Korea,Homo sapiens,0,2015,0
NC_039476.1,NC_039476.1,BJSMQ,Norwalk virus,Norovirus,Caliciviridae,China,Homo sapiens,0,2016,0
NC_039477.1,NC_039477.1,NORO_226_06_01_2016,Norwalk virus,Norovirus,Caliciviridae,United Kingdom,Homo sapiens,0,2016,0
NC_039897.1,NC_039897.1,Shimizu/KK2866,Norwalk virus,Norovirus,Caliciviridae,Japan,Homo sapiens,0,2007,0
NC_040399.1,NC_040399.1,B46,Nepovirus RCNA,Nepovirus,Secoviridae,Czech Republic,Trifolium pratense,0,2017,0
NC_040417.1,NC_040417.1,UC,Potato virus U,Nepovirus,Secoviridae,Peru,Solanum tuberosum,0,1977,0
NC_040574.1,NC_040574.1,,Culex Iflavi-like virus 4,Unclassified,Iflaviridae,USA,Culex,0,2016,0
NC_040586.1,NC_040586.1,SP2S,Waikavirus BnRV1,Waikavirus,Secoviridae,China,Brassica napus,0,2015,0
NC_040587.1,NC_040587.1,,Yongsan iflavirus 1,Iflavirus,Iflaviridae,South Korea,Culex pipiens,0,2016,0
NC_040601.1,NC_040601.1,VDV-2,Varroa destructor iflavirus 1,Iflavirus,Iflaviridae,Israel,Varroa destructor,0,2014,0
NC_040605.1,NC_040605.1,,Marmot sapelovirus 1,Sapelovirus,Picornaviridae,China,Marmota himalayana,0,2013,0
NC_040611.1,NC_040611.1,,Cadicivirus B,Dicipivirus,Picornaviridae,Hungary,Erinaceus roumanicus,0,2015,0
NC_040642.1,NC_040642.1,,Rhimavirus A,Unclassified,Picornaviridae,Australia,Rhinella marina,0,2017,0
NC_040646.1,NC_040646.1,,Culex Iflavi-like virus 1,Iflavirus,Iflaviridae,USA,Culex,0,2016,0
NC_040673.1,NC_040673.1,,Tremovirus B,Tremovirus,Picornaviridae,China,Pelodiscus sinensis,0,2011,0
NC_040674.1,NC_040674.1,,Marmot norovirus,Norovirus,Caliciviridae,China,Marmota himalayana,0,2013,0
NC_040675.1,NC_040675.1,,Nesidiocoris tenuis iflavirus 1,Iflavirus,Iflaviridae,China,Nesidiocoris tenuis,0,2015,0
NC_040684.1,NC_040684.1,,Goose picornavirus 1,Unclassified,Picornaviridae,Hungary,Anser albifrons,0,2013,0
NC_040716.1,NC_040716.1,,Culex Iflavi-like virus 4,Unclassified,Iflaviridae,USA,Culex,0,2016,0
NC_040724.1,NC_040724.1,,Psammotettix alienus iflavirus 1,Iflavirus,Iflaviridae,China,Psammotettix alienus,0,2017,0
NC_040798.1,NC_040798.1,,Nephila clavipes virus 1,Unclassified,Unclassified,USA,Nephiles clavipes,0,2013,0
NC_040832.1,NC_040832.1,,Culex Iflavi-like virus 4,Unclassified,Iflaviridae,USA,Culex,0,2016,0
NC_040876.1,NC_040876.1,NORO_176-1_17_12_2015,Norwalk virus,Norovirus,Caliciviridae,United Kingdom,Homo sapiens,0,2015,0
NC_043072.1,NC_043072.1,,Mischivirus B,Mischivirus,Picornaviridae,Hungary,Miniopterus schreibersii,1,2013,0
NC_043447.1,NC_043447.1,Pasco-01,Potato virus B,Nepovirus,Secoviridae,Peru,Solanum tuberosum,0,2010,0
NC_043512.1,NC_043512.1,,Recovirus A,Recovirus,Caliciviridae,USA,Macaca mulatta,0,2008,0
NC_043516.1,NC_043516.1,L11043,Nacovirus A,Nacovirus,Caliciviridae,Germany,Meleagris gallopavo,0,2011,0
NC_043519.1,NC_043519.1,SF-3,Sanfarnavirus 3,Locarnavirus,Marnaviridae,USA,environmental sample,0,2010,0
NC_043542.1,NC_043542.1,,Britarnavirus 2,Sogarnavirus,Marnaviridae,Canada,environmental sample,0,2014,0
NC_043544.1,NC_043544.1,,Rafivirus B,Rafivirus,Picornaviridae,China,Gekko similignum,0,2017,0
NC_043684.1,NC_043684.1,AILV-V,Artichoke Italian latent virus,Nepovirus,Secoviridae,Bulgaria,Vitis,0,2016,0
NC_044045.1,NC_044045.1,Sapporo/HK299,Norwalk virus,Norovirus,Caliciviridae,Japan,Homo sapiens,0,2007,0
NC_044046.1,NC_044046.1,Yuzawa/Gira2HS,Norwalk virus,Norovirus,Caliciviridae,Japan,Homo sapiens,0,2011,0
NC_044047.1,NC_044047.1,,Norwalk virus,Norovirus,Caliciviridae,Hong Kong,Canis lupus familiaris,0,2007,0
NC_044853.1,NC_044853.1,,Norwalk virus,Norovirus,Caliciviridae,Japan,Homo sapiens,0,1998,0
NC_044854.1,NC_044854.1,,Norwalk virus,Norovirus,Caliciviridae,Japan,Homo sapiens,0,2000,0
NC_044855.1,NC_044855.1,,Norwalk virus,Norovirus,Caliciviridae,USA,Homo sapiens,0,2016,0
NC_044856.1,NC_044856.1,,Norwalk virus,Norovirus,Caliciviridae,Bangladesh,Homo sapiens,0,2011,0
NC_044932.1,NC_044932.1,Hu/GII.PNA4-GII.NA4/PNV06929/2008/PER,Norwalk virus,Norovirus,Caliciviridae,Peru,Homo sapiens,0,2008,0
NC_045762.1,NC_045762.1,,Norwalk virus,Norovirus,Caliciviridae,USA,Felis catus,0,2010,0
NC_055108.1,NC_055108.1,,Poecivirus A,Poecivirus,Picornaviridae,USA,Poecile atricapillus,0,2002,0
NC_055125.1,NC_055125.1,Csp02RNAV01,Chaetarnavirus 2,Sogarnavirus,Marnaviridae,Japan,Chaetoceros sp.,0,2009,0
NC_055156.1,NC_055156.1,RtMp-PicoV/YN2014,Rabovirus B,Rabovirus,Picornaviridae,China,Rodentia,0,2017,0
NC_055159.1,NC_055159.1,,Tottorivirus A,Tottorivirus,Picornaviridae,Japan,Sus scrofa domesticus,0,2015,0
NC_055160.1,NC_055160.1,MPV/NYC/2014/M005/0074,Rabovirus D,Rabovirus,Picornaviridae,USA,Mus musculus,0,2014,0
NC_055161.1,NC_055161.1,,Ailurivirus A,Ailurivirus,Picornaviridae,China,Ailuropoda melanoleuca,0,2015,0
OP287812.1,OP287812.1,,Madagascar bat kobuvirus,Kobuvirus,Picornaviridae,Madagascar,Eidolon dupreanum,1,2018,0
OQ818330,OQ818330,,"Pteropus rufus cheravirus, partial genome",Cheravirus,Secoviridae,Madagascar,Pteropus rufus,1,2018,1
OQ818331,OQ818331,,"Pteropus rufus tetnovirus, partial genome",Tetnovirus,Unclassified,Madagascar,Pteropus rufus,1,2018,1
OQ818332,OQ818332,,"Pteropus rufus bee virus, partial genome",Bee virus,Unclassified,Madagascar,Pteropus rufus,1,2018,1
OQ818333,OQ818333,,"Pteropus rufus picorna-like virus, partial genome",Picorna-like virus,Unclassified,Madagascar,Pteropus rufus,1,2018,1
OQ818334,OQ818334,,"Pteropus rufus picorna-like virus, partial genome",Picorna-like virus,Unclassified,Madagascar,Pteropus rufus,1,2018,1
OQ818335,OQ818335,,"Pteropus rufus felisavirus, partial genome",Felisavirus,Unclassified,Madagascar,Pteropus rufus,1,2018,1
OQ818336,OQ818336,,"Pteropus rufus picorna-like virus, partial genome",Picorna-like virus,Unclassified,Madagascar,Pteropus rufus,1,2018,1
OQ818337,OQ818337,,"Eidolon dupreanum hepatovirus, partial genome",Hepatovirus,Picornaviridae,Madagascar,Eidolon dupreanum,1,2018,1
OQ818338,OQ818338,,"Eidolon dupreanum cripavirus, partial genome",Cripavirus,Dicistroviridae,Madagascar,Eidolon dupreanum,1,2018,1
OQ818339,OQ818339,,"Eidolon dupreanum picorna-like virus, partial genome",Picorna-like virus,Unclassified,Madagascar,Eidolon dupreanum,1,2018,1
OQ818340,OQ818340,,"Eidolon dupreanum sapovirus, partial genome",Sapovirus,Caliciviridae,Madagascar,Eidolon dupreanum,1,2018,1
OQ818341,OQ818341,,"Eidolon dupreanum felisaviruus, partial genome",Felisavirus,Unclassified,Madagascar,Eidolon dupreanum,1,2018,1
OQ818342,OQ818342,,"Eidolon dupreanum sapelovirus, partial genome",Sapelovirus,Picornaviridae,Madagascar,Eidolon dupreanum,1,2018,1
OQ818343,OQ818343,,"Eidolon dupreanum sapelovirus, partial genome",Sapelovirus,Picornaviridae,Madagascar,Eidolon dupreanum,1,2018,1
OQ818344,OQ818344,,"Eidolon dupreanum sapelovirus, partial genome",Sapelovirus,Picornaviridae,Madagascar,Eidolon dupreanum,1,2018,1
OQ818345,OQ818345,,"Rousettus madagascariensis sapovirus, partial genome",Sapovirus,Caliciviridae,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818346,OQ818346,,"Rousettus madagascariensis bat picornavirus, partial genome",Bat picornavirus,Picornaviridae,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818347,OQ818347,,"Rousettus madagascariensis sapovirus, partial genome",Sapovirus,Caliciviridae,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818348,OQ818348,,"Rousettus madagascariensis sapovirus, partial genome",Sapovirus,Caliciviridae,Madagascar,Rousettus madagascariensis,1,2019,1
