Accession,Organism_Name,Isolate,Species,Genus,Country,source,Host,Collection_Date,novel
OK484997.1,Sapovirus GV,,Sapporo virus,Sapovirus,China,Sus scrofa,0,2020,0
OK484998.1,Sapovirus GIII,,Sapporo virus,Sapovirus,China,Sus scrofa,0,2020,0
OM140655.1,Marmot kobuvirus,,Marmot kobuvirus,Kobuvirus,China,Marmota caudata,0,2016,0
ON024079.1,Pangolin shanbavirus,BIME1,Pangolin shanbavirus,Shanbavirus,China,Pholidota,0,2018,0
ON024080.1,Pangolin shanbavirus,BIME1,Pangolin shanbavirus,Shanbavirus,China,Pholidota,0,2018,0
ON595848.1,Feline kobuvirus,FPV-1,Aichivirus A,Kobuvirus,Australia,Felis catus,0,2017,0
ON730709.1,Bovine kobuvirus,,Kobuvirus bejaponia,Kobuvirus,China,Bos taurus,0,2021,0
OP093966.1,Canine kobuvirus,PK02,Canine kobuvirus,Kobuvirus,Brazil,Canis lupus familiaris,0,2019,0
OP094599.1,Bamboo rat kobuvirus,B45M02,Bamboo rat kobuvirus,Kobuvirus,China,Rhizomys pruinosus,0,2019,0
OP255973.1,Sapovirus GI,,Sapporo virus,Sapovirus,Netherlands,Homo sapiens,0,2016,0
OP255993.1,aichivirus A1,,Kobuvirus aichi,Kobuvirus,Netherlands,Homo sapiens,0,2018,0
OP287812.1,Eidolon dupreanum kobuvirus,FEC145,Eidolon dupreanum kobuvirus,Kobuvirus,Madagascar,Eidolon dupreanum,1,2018,0
OP776109.1,Kobuvirus dekago,BKV/Yak/SCDF77/2021/CHN,Kobuvirus dekago,Kobuvirus,China,Bos grunniens,0,2021,0
OP920760.1,Capreolus pygargus kobuvirus,CpKoV/XK/CHN/2021,Capreolus pygargus kobuvirus,Kobuvirus,China,Capreolus pygargus,0,2021,0
OP963623.1,Bat sapovirus BtSY2,,Bat sapovirus BtSY2,Sapovirus,China,Rousettus leschenaultii,1,2017,0
OQ121963.1,aichivirus A1,hu/C8_Seoul_02/2019,Kobuvirus aichi,Kobuvirus,South Korea,Homo sapiens,0,2019,0
OQ363763.1,Kobuvirus aichi,GX/B45M0208/2019,Kobuvirus aichi,Kobuvirus,China,Rhizomys pruinosus,0,2019,0
OQ363777.1,Bat picornavirus,GD/L8.18/2020,Shanbavirus A,Shanbavirus,China,Rhinolophus sinicus,1,2020,0
OQ363779.1,Rhinolophus bat shanbavirus,GD/L58.18/2021,Rhinolophus bat shanbavirus,Shanbavirus,China,Rhinolophus pusillus,1,2021,0
OQ363781.1,Rhinolophus bat shanbavirus,GD/L15.18/2020,Rhinolophus bat shanbavirus,Shanbavirus,China,Rhinolophus pearsonii,1,2020,0
OQ363786.1,Rhinolophus bat shanbavirus,GD/L32.18/2021,Rhinolophus bat shanbavirus,Shanbavirus,China,Rhinolophus pusillus,1,2021,0
OQ559662.1,Simian hepatitis A virus,SHAV/Macaca/Germany/2021,Hepatovirus A,Hepatovirus,Germany,Macaca fascicularis,0,2021,0
OQ709197.1,Bat sapovirus WD3,BtSaV/RlWD03,Bat sapovirus WD3,Sapovirus,China,Rousettus leschenaultii,1,2018,0
OQ758029.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,Hungary,Capra hircus,0,2020,0
OR261026.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Australia,Homo sapiens,0,2023,0
OR367421.1,Hepatovirus sp. 'sotense',CH-APSJS/2021,Hepatovirus sp. 'sotense',Hepatovirus,Brazil,Artibeus planirostris,0,2021,0
OR452341.1,Hepatovirus A,Chu-alp-02,Hepatovirus A,Hepatovirus,Bolivia,Vicugna pacos,0,2019,0
OR517473.1,Sapovirus sp.,Hu/NI/2017/GI.2/CNDR695,Sapovirus sp.,Sapovirus,Nicaragua,Homo sapiens,0,2017,0
OR672554.1,Sapovirus GI,RC-22152,Sapporo virus,Sapovirus,China,Homo sapiens,0,2022,0
OR682616.1,Caprine kobuvirus,Caprine/SWUN/F1/2022,Aichivirus C,Kobuvirus,China,Capra hircus,0,2022,0
OR837774.1,Sapovirus sp.,SaV/A14/AFP01/NGR/2020/S01,Sapovirus sp.,Sapovirus,Nigeria,Homo sapiens,0,2020,0
OR867083.1,Hepatovirus sp.,HAQL/13130,Hepatovirus sp.,Hepatovirus,China,Hipposideros armiger,1,2022,0
OR951131.1,Bat sapovirus,GX2017,Bat sapovirus,Sapovirus,China,Taphozous melanopogon,1,2017,0
OR951211.1,Bat kobuvirus,GX2018,Bat kobuvirus,Kobuvirus,China,Scotophilus kuhlii,1,2018,0
OR951280.1,Aichivirus F,GD2017_210_473,Aichivirus F,Kobuvirus,China,Myotis ricketti,1,2017,0
OR951324.1,Pteropodidae bat teschovirus,YN2017,Pteropodidae bat teschovirus,Teschovirus,China,Eonycteris spelaea,1,2017,0
OR951325.1,Pteropodidae bat sapelovirus,YN2017_252_13203,Pteropodidae bat sapelovirus,Sapelovirus,China,Eonycteris spelaea,1,2017,0
OR951332.1,Pteropodidae bat sapelovirus,YN2016,Pteropodidae bat sapelovirus,Sapelovirus,China,Rousettus leschenaultii,1,2016,0
OR951333.1,Pteropodidae bat teschovirus,YN2016_267_11102,Pteropodidae bat teschovirus,Teschovirus,China,Rousettus leschenaultii,1,2016,0
PP105600.1,Sapovirus GX,,Sapporo virus,Sapovirus,Hungary,Canis aureus,0,2020,0
PP388958.1,Porcine enteric sapovirus,SHCM Mega2023,Sapporo virus,Sapovirus,China,Sus scrofa,0,2023,0
PP827030.1,bar-headed goose hepatovirus,PICV5,bar-headed goose hepatovirus,Hepatovirus,China,Anser indicus,0,2020,0
PP827031.1,bar-headed goose hepatovirus,PICV13,bar-headed goose hepatovirus,Hepatovirus,China,Anser indicus,0,2020,0
PP842133.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2023,0
