Accession,Isolate,Species,Genus,Family,Length,Country,Host,bat_Host,Collection_Date,novel
OQ363753.1,GD/L117.18b/2022,Bat picornavirus 5,,Picornaviridae,11198,China,Miniopterus pusillus,,22-Jul,
OQ363754.1,GD/L117.18f/2022,Bat picornavirus 5,,Picornaviridae,11194,China,Miniopterus pusillus,,22-Jul,
OQ363755.1,GD/L117.18g/2022,Bat picornavirus 5,,Picornaviridae,11008,China,Miniopterus pusillus,,22-Jul,
OQ363757.1,GD/L12.18/2020,Bat picornavirus 6,,Picornaviridae,10765,China,Miniopterus pusillus,,20-Nov,
OQ363758.1,GD/L12.18a/2020,Bat picornavirus 6,,Picornaviridae,10663,China,Miniopterus pusillus,,20-Nov,
OQ363759.1,GD/L117.18a/2022,Bat picornavirus 5,,Picornaviridae,9826,China,Miniopterus pusillus,,22-Jul,
OQ363761.1,GD/L12.18b/2020,Bat picornavirus 6,,Picornaviridae,8524,China,Miniopterus pusillus,,20-Nov,
OQ363764.1,GD/L96.21/2022,Bat picornavirus 3,,Picornaviridae,7970,China,Rhinolophus sinicus,,22-Apr,
OQ363766.1,CQ/L77.18b/2021,Bat picornavirus 3,,Picornaviridae,7897,China,Rhinolophus pusillus,,21-Dec,
OQ363767.1,GD/L91.18/2022,Bat picornavirus 3,,Picornaviridae,7886,China,Rhinolophus pusillus,,22-Jan,
OQ363768.1,GD/L95.21/2022,Bat picornavirus 3,,Picornaviridae,7886,China,Rhinolophus sinicus,,22-Apr,
OQ363769.1,GD/L23.18/2020,Bat picornavirus 3,,Picornaviridae,7882,China,Rhinolophus sinicus,,20-Dec,
OQ363770.1,GD/L24.18/2020,Bat picornavirus 3,,Picornaviridae,7881,China,Rhinolophus sinicus,,20-Dec,
OQ363771.1,GD/L20.18/2020,Bat picornavirus 3,,Picornaviridae,7880,China,Rhinolophus sinicus,,20-Dec,
OQ363772.1,GD/L67.18/2021,Bat picornavirus 7,,Picornaviridae,7880,China,Taphozous melanopogon,,21-Nov,
OQ363773.1,GD/L25.18/2020,Bat picornavirus 3,,Picornaviridae,7875,China,Rhinolophus sinicus,,20-Dec,
OQ363774.1,SC/L75.18/2021,Bat picornavirus 3,,Picornaviridae,7853,China,Rhinolophus,,21-Dec,
OQ363775.1,CQ/L77.18a/2021,Bat picornavirus 3,,Picornaviridae,7853,China,Rhinolophus pusillus,,21-Dec,
OQ363777.1,GD/L8.18/2020,Shanbavirus A,Shanbavirus,Picornaviridae,7743,China,Rhinolophus sinicus,,20-Nov,
OQ363779.1,GD/L58.18/2021,Rhinolophus bat shanbavirus,Shanbavirus,Picornaviridae,7080,China,Rhinolophus pusillus,,21-Oct,
OQ363780.1,GD/L4.18/2020,Rhinolophus bat shanbavirus,Shanbavirus,Picornaviridae,7018,China,Rhinolophus pusillus,,20-Nov,
OQ363781.1,GD/L15.18/2020,Rhinolophus bat shanbavirus,Shanbavirus,Picornaviridae,7009,China,Rhinolophus pearsonii,,20-Nov,
OQ363782.1,GD/L71.18b/2021,Bat picornavirus 4,,Picornaviridae,6931,China,Rhinolophus,,21-Nov,
OQ363783.1,GD/L26.18/2020,Bat picornavirus 4,,Picornaviridae,6925,China,Rhinolophus sinicus,,20-Dec,
OQ363784.1,GD/L71.18a/2021,Bat picornavirus 4,,Picornaviridae,6920,China,Rhinolophus,,21-Nov,
OQ363785.1,GD/L45.18/2021,Bat picornavirus 4,,Picornaviridae,6920,China,Rhinolophus pusillus,,21-Aug,
OQ363786.1,GD/L32.18/2021,Rhinolophus bat shanbavirus,Shanbavirus,Picornaviridae,6756,China,Rhinolophus pusillus,,21-May,
OQ363789.1,GX/L142.18/2022,Myotis bat Parechovirus,Parechovirus,Picornaviridae,4431,China,Myotis davidii,,22-Aug,
OQ363791.1,GZ/L164.18/2022,Rhinolophus bat shanbavirus,Shanbavirus,Picornaviridae,3122,China,Rhinolophus affinis,,22-Aug,
OQ363803.1,GZ/L172.18/2022,Bat picornavirus 10,,Picornaviridae,3482,China,Myotis chinensis,,22-Aug,
OQ363805.1,GZ/L173.18/2022,Bat picornavirus 11,,Picornaviridae,3796,China,Myotis ricketti,,22-Aug,
OQ363806.1,GZ/L175.18/2022,Bat picornavirus 1,,Picornaviridae,7743,China,Miniopterus schreibersii,,22-Aug,
OQ709197.1,BtSaV/RlWD03,Bat sapovirus WD3,Sapovirus,Caliciviridae,6865,China,Rousettus leschenaultii,,2018,
OQ818316,,,,,,,,,,
OQ818317,,,,,,,,,,
OQ818318,,,,,,,,,,
OQ818319,,,,,,,,,,
OQ818320,,,,,,,,,,
OQ818321,,,,,,,,,,
OQ818322,,,,,,,,,,
OQ818323,,,,,,,,,,
OQ818324,,,,,,,,,,
OQ818325,,,,,,,,,,
OQ818326,,,,,,,,,,
OQ818327,,,,,,,,,,
OQ818328,,,,,,,,,,
OQ818329,,,,,,,,,,
OQ818330,,,,,,,,,,
OQ818331,,,,,,,,,,
OQ818335,,,,,,,,,,
OQ818336,,,,,,,,,,
OQ818337,,,,,,,,,,
OQ818339,,,,,,,,,,
OQ818340,,,,,,,,,,
OQ818341,,,,,,,,,,
