Accession,Isolate,Species,Genus,Family,Length,Country,source,Host,Collection_Date,novel
OP963623.1,,Bat sapovirus BtSY2,Sapovirus,Caliciviridae,7394,China,Rousettus leschenaultii,1,2017,0
OP963670.1,,Shanbavirus A,Shanbavirus,Picornaviridae,7829,China,Rhinolophus pusillus,1,2018,0
OP963671.1,,Bat sapovirus BtSY3,Sapovirus,Caliciviridae,3773,China,Rousettus leschenaultii,1,2018,0
OQ363751.1,GD/L117.18d/2022,Bat picornavirus 5,Unclassified,Picornaviridae,11211,China,Miniopterus pusillus,1,2022,0
OQ363752.1,GD/L117.18e/2022,Bat picornavirus 5,Unclassified,Picornaviridae,11207,China,Miniopterus pusillus,1,2022,0
OQ363753.1,GD/L117.18b/2022,Bat picornavirus 5,Unclassified,Picornaviridae,11198,China,Miniopterus pusillus,1,2022,0
OQ363754.1,GD/L117.18f/2022,Bat picornavirus 5,Unclassified,Picornaviridae,11194,China,Miniopterus pusillus,1,2022,0
OQ363755.1,GD/L117.18g/2022,Bat picornavirus 5,Unclassified,Picornaviridae,11008,China,Miniopterus pusillus,1,2022,0
OQ363757.1,GD/L12.18/2020,Bat picornavirus 6,Unclassified,Picornaviridae,10765,China,Miniopterus pusillus,1,2020,0
OQ363758.1,GD/L12.18a/2020,Bat picornavirus 6,Unclassified,Picornaviridae,10663,China,Miniopterus pusillus,1,2020,0
OQ363759.1,GD/L117.18a/2022,Bat picornavirus 5,Unclassified,Picornaviridae,9826,China,Miniopterus pusillus,1,2022,0
OQ363761.1,GD/L12.18b/2020,Bat picornavirus 6,Unclassified,Picornaviridae,8524,China,Miniopterus pusillus,1,2020,0
OQ363764.1,GD/L96.21/2022,Bat picornavirus 3,Unclassified,Picornaviridae,7970,China,Rhinolophus sinicus,1,2022,0
OQ363766.1,CQ/L77.18b/2021,Bat picornavirus 3,Unclassified,Picornaviridae,7897,China,Rhinolophus pusillus,1,2021,0
OQ363767.1,GD/L91.18/2022,Bat picornavirus 3,Unclassified,Picornaviridae,7886,China,Rhinolophus pusillus,1,2022,0
OQ363768.1,GD/L95.21/2022,Bat picornavirus 3,Unclassified,Picornaviridae,7886,China,Rhinolophus sinicus,1,2022,0
OQ363769.1,GD/L23.18/2020,Bat picornavirus 3,Unclassified,Picornaviridae,7882,China,Rhinolophus sinicus,1,2020,0
OQ363770.1,GD/L24.18/2020,Bat picornavirus 3,Unclassified,Picornaviridae,7881,China,Rhinolophus sinicus,1,2020,0
OQ363771.1,GD/L20.18/2020,Bat picornavirus 3,Unclassified,Picornaviridae,7880,China,Rhinolophus sinicus,1,2020,0
OQ363772.1,GD/L67.18/2021,Bat picornavirus 7,Unclassified,Picornaviridae,7880,China,Taphozous melanopogon,1,2021,0
OQ363773.1,GD/L25.18/2020,Bat picornavirus 3,Unclassified,Picornaviridae,7875,China,Rhinolophus sinicus,1,2020,0
OQ363774.1,SC/L75.18/2021,Bat picornavirus 3,Unclassified,Picornaviridae,7853,China,Rhinolophus,1,2021,0
OQ363775.1,CQ/L77.18a/2021,Bat picornavirus 3,Unclassified,Picornaviridae,7853,China,Rhinolophus pusillus,1,2021,0
OQ363777.1,GD/L8.18/2020,Shanbavirus A,Shanbavirus,Picornaviridae,7743,China,Rhinolophus sinicus,1,2020,0
OQ363779.1,GD/L58.18/2021,Rhinolophus bat shanbavirus,Shanbavirus,Picornaviridae,7080,China,Rhinolophus pusillus,1,2021,0
OQ363780.1,GD/L4.18/2020,Rhinolophus bat shanbavirus,Shanbavirus,Picornaviridae,7018,China,Rhinolophus pusillus,1,2020,0
OQ363781.1,GD/L15.18/2020,Rhinolophus bat shanbavirus,Shanbavirus,Picornaviridae,7009,China,Rhinolophus pearsonii,1,2020,0
OQ363782.1,GD/L71.18b/2021,Bat picornavirus 4,Unclassified,Picornaviridae,6931,China,Rhinolophus,1,2021,0
OQ363783.1,GD/L26.18/2020,Bat picornavirus 4,Unclassified,Picornaviridae,6925,China,Rhinolophus sinicus,1,2020,0
OQ363784.1,GD/L71.18a/2021,Bat picornavirus 4,Unclassified,Picornaviridae,6920,China,Rhinolophus,1,2021,0
OQ363785.1,GD/L45.18/2021,Bat picornavirus 4,Unclassified,Picornaviridae,6920,China,Rhinolophus pusillus,1,2021,0
OQ363786.1,GD/L32.18/2021,Rhinolophus bat shanbavirus,Shanbavirus,Picornaviridae,6756,China,Rhinolophus pusillus,1,2021,0
OQ363789.1,GX/L142.18/2022,Myotis bat Parechovirus,Parechovirus,Picornaviridae,4431,China,Myotis davidii,1,2022,0
OQ363791.1,GZ/L164.18/2022,Rhinolophus bat shanbavirus,Shanbavirus,Picornaviridae,3122,China,Rhinolophus affinis,1,2022,0
OQ363803.1,GZ/L172.18/2022,Bat picornavirus 10,Unclassified,Picornaviridae,3482,China,Myotis chinensis,1,2022,0
OQ363805.1,GZ/L173.18/2022,Bat picornavirus 11,Unclassified,Picornaviridae,3796,China,Myotis ricketti,1,2022,0
OQ363806.1,GZ/L175.18/2022,Bat picornavirus 1,Unclassified,Picornaviridae,7743,China,Miniopterus schreibersii,1,2022,0
OQ709197.1,BtSaV/RlWD03,Bat sapovirus WD3,Sapovirus,Caliciviridae,6865,China,Rousettus leschenaultii,1,2018,0
OQ818316,,Unclassified,Mischivirus,Picornaviridae,,Madagascar,Pteropus rufus,1,2018,1
OQ818317,,Unclassified,Kunsagivirus,Picornaviridae,,Madagascar,Eidolon dupreanum,1,2018,1
OQ818318,,Unclassified,Teschovirus,Picornaviridae,,Madagascar,Eidolon dupreanum,1,2018,1
OQ818319,,Unclassified,Sapovirus,Caliciviridae,,Madagascar,Eidolon dupreanum,1,2018,1
OQ818320,,Unclassified,Sapelovirus,Picornaviridae,,Madagascar,Eidolon dupreanum,1,2018,1
OQ818321,,Unclassified,Sapelovirus,Picornaviridae,,Madagascar,Eidolon dupreanum,1,2019,1
OQ818322,,Unclassified,Kobuvirus,Picornaviridae,,Madagascar,Eidolon dupreanum,1,2019,1
OQ818323,,Unclassified,Teschovirus,Picornaviridae,,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818324,,Unclassified,Teschovirus,Picornaviridae,,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818325,,Unclassified,Picornavirus,Picornaviridae,,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818328,,Unclassified,Picornavirus,Picornaviridae,,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818329,,Unclassified,Sapelovirus,Picornaviridae,,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818337,,Unclassified,Hepatovirus,Picornaviridae,,Madagascar,Eidolon dupreanum,1,2018,1
OQ818340,,Unclassified,Sapovirus,Caliciviridae,,Madagascar,Eidolon dupreanum,1,2018,1
