Accession,Isolate,Species,Genus,Family,Length,Nuc_Completeness,Country,Host,Collection_Date
MF189567.1,,Enterovirus C,Enterovirus,Picornaviridae,7202,partial,Uganda,Homo sapiens,2017-01-31
MF346171.1,114_C6,Enterovirus C,Enterovirus,Picornaviridae,7402,partial,Guinea,Homo sapiens,2015
MF521674.1,15_491,Enterovirus B,Enterovirus,Picornaviridae,7353,partial,Niger,Homo sapiens,2015
MF593269.1,BatPicV/NeoC21877/RSA,Picornaviridae sp.,,Picornaviridae,1077,partial,South Africa,Neoromicia,
MF621608.1,ETH_P11,Human cosavirus,Cosavirus,Picornaviridae,6842,partial,Ethiopia,Homo sapiens,16-Apr
MF621614.1,ETH/2016/P16,Hepatovirus A,Hepatovirus,Picornaviridae,7209,partial,Ethiopia,Homo sapiens,16-Apr
MF678825.1,SAT1/NIG/3/15,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8215,complete,Nigeria,Bos taurus,15-Nov
MF990293.1,ETH_P4/E16_2016,Enterovirus B,Enterovirus,Picornaviridae,7398,partial,Ethiopia,Homo sapiens,16-Apr
MF990304.1,ETH_P16/A20_2016,Enterovirus C,Enterovirus,Picornaviridae,7336,partial,Ethiopia,Homo sapiens,16-Apr
MG009596.1,ETH/2016/P4,Aichivirus A,Kobuvirus,Picornaviridae,8057,partial,Ethiopia,Homo sapiens,16-Apr
MG013988.1,15-355,Enterovirus A,Enterovirus,Picornaviridae,7343,complete,Senegal,Homo sapiens,2015
MG026486.1,ETH_P5_2016,Parechovirus A,Parechovirus,Picornaviridae,7108,partial,Ethiopia,Homo sapiens,16-Apr
MG026496.1,ETH_P28_2016,Salivirus sp.,Salivirus,Picornaviridae,7828,partial,Ethiopia,Homo sapiens,16-Apr
MG672478.1,NER-13-194,Enterovirus A,Enterovirus,Picornaviridae,7412,complete,Niger,,
MG672479.1,GIN-13-365,Enterovirus A,Enterovirus,Picornaviridae,7419,complete,Guinea,,
MG672480.1,SEN-14-157,Enterovirus A,Enterovirus,Picornaviridae,7405,complete,Senegal,,
MG672481.1,MRT-14-250,Enterovirus A,Enterovirus,Picornaviridae,7407,complete,Mauritania,,
MG672482.1,SEN-14-254,Enterovirus A,Enterovirus,Picornaviridae,7353,complete,Senegal,,
MG692407.1,ETH_P25/A14_2016,Enterovirus A,Enterovirus,Picornaviridae,6980,partial,Ethiopia,Homo sapiens,16-Apr
MG725872.1,A/NIG/1/13,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8126,complete,Nigeria,Bos taurus,2013
MG888045.1,,Mischivirus B,Mischivirus,Picornaviridae,6961,partial,Algeria,Miniopterus,17-Feb
MG913340.1,ALG/1/2017,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8119,complete,Algeria,Bos taurus,2017-04-09
MG983695.1,LIB/7/2013,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8190,complete,Libya,Bos taurus,2013-09-08
MG983698.1,MUR/5/2016,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8080,partial,Mauritius,Bos taurus,2016-08-09
MH005790.1,,Enterovirus B,Enterovirus,Picornaviridae,7411,partial,Ghana,Homo sapiens,2017-05-31
MH053305.1,EGY/1/72,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8209,complete,Egypt,Bos taurus,1972-05-13
MH053306.1,TCH/2/73,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8173,complete,Chad,Bos taurus,1973
MH053307.1,Zambia/90,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8169,complete,Zambia,Bos taurus,1990-05-09
MH053308.1,ETH/1/71,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8171,complete,Ethiopia,,1971
MH053309.1,KEN/32/70 (K267/67),Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8153,complete,Kenya,Bos taurus,1967
MH053310.1,UGA/18/70,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8158,complete,Uganda,Bos taurus,1970-03-26
MH053311.1,ETH/3/2004,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8172,complete,Ethiopia,Bos taurus,2004
MH053312.1,ETH/58/2005,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8165,complete,Ethiopia,Bos taurus,2005-04-20
MH053313.1,ETH/2/2006,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8162,complete,Ethiopia,Bos taurus,06-May
MH053314.1,ETH/1/2007,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8174,complete,Ethiopia,Bos taurus,2007-02-08
MH053315.1,SUD/1/76,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8155,complete,Sudan,,1976
MH053316.1,UGA/5/96,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8056,complete,Uganda,Bos taurus,1996-01-17
MH053317.1,UGA/17/98,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8180,complete,Uganda,,1998
MH053318.1,UGA/3/2002,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8160,complete,Uganda,,2002
MH053319.1,BOT-BUFF/62/74,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8177,complete,Botswana,Syncerus caffer,1974
MH053320.1,K303/83,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8146,complete,Kenya,Bos taurus,1983
MH053321.1,MOZ/5/81,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8185,complete,Mozambique,Bos taurus,1981-08-26
MH053322.1,SWA/2/89,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8178,complete,Namibia,Syncerus caffer,1989-08-30
MH053323.1,TCH/1/72,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8188,complete,Chad,Bos taurus,1972-01-22
MH053324.1,UGA/47/71,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8201,complete,Uganda,Bos taurus,1971-08-24
MH053325.1,UGA/6/78,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8200,complete,Uganda,Bos taurus,1978-04-18
MH053328.1,BOT-BUFF/2/68,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8136,complete,Botswana,Syncerus caffer,1968
MH053329.1,BOT-BUFF/2/69,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8167,complete,Botswana,Syncerus caffer,1969
MH053333.1,ETH/1/90,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8121,complete,Ethiopia,Bos taurus,1989-08-15
MH053334.1,NR/1/64,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8173,complete,Zambia,Bos taurus,1964
MH053335.1,SRHO/1/65,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8127,complete,Zimbabwe,Bos taurus,1965
MH053338.1,BOT/109/66,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8098,complete,Botswana,Bos taurus,1966
MH053339.1,BOT-BUFF/13/70,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8102,complete,Botswana,Syncerus caffer,1970
MH053340.1,MAL/3/76,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8144,complete,Malawi,Bos taurus,1976-08-11
MH053341.1,UGA-BUFF/27/70,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8213,complete,Uganda,Syncerus caffer,Oct-70
MH053343.1,RV/7/34,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8155,complete,Zimbabwe,Bos taurus,1934-08-01
MH053344.1,RHO/7/74,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8145,complete,Zimbabwe,Bos taurus,1974-07-31
MH053348.1,RHO/11/77,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8154,complete,Zimbabwe,Bos taurus,1977-02-22
MH053349.1,ZIM/P6/83 (WN-16),Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8143,complete,Zimbabwe,Syncerus caffer,Mar-83
MH053351.1,ZIM/2/84,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8151,complete,Zimbabwe,Bos taurus,1984-08-28
MH053352.1,ZIM/P27/90 (DSA-31),Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8160,complete,Zimbabwe,Syncerus caffer,1990-10-20
MH084298.1,Env_SEN_Feb2013-C116a,Enterovirus C,Enterovirus,Picornaviridae,1052,partial,Senegal,,13-Feb
MH167965.1,FMDV_O/MOY2_099_P_2016,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,7591,complete,Uganda,Bos taurus,2016
MH685681.1,E0-163,Rhinovirus A,Enterovirus,Picornaviridae,6900,partial,Uganda,Homo sapiens,2013
MH685694.1,E0-133,Rhinovirus C,Enterovirus,Picornaviridae,7046,partial,Uganda,Homo sapiens,2013
MH685712.1,E0-150,Enterovirus B,Enterovirus,Picornaviridae,7219,partial,Uganda,Homo sapiens,2013
MH685713.1,E0-67,Enterovirus A,Enterovirus,Picornaviridae,7242,partial,Uganda,Homo sapiens,2013
MH685714.1,E0-198,Hepatovirus A,Hepatovirus,Picornaviridae,7325,partial,Uganda,Homo sapiens,2013
MH719217.1,,Enterovirus E,Enterovirus,Picornaviridae,7368,complete,Nigeria,Bos taurus,2017
MH732737.1,,Enterovirus B,Enterovirus,Picornaviridae,7411,complete,Nigeria,Homo sapiens,2010
MH745407.1,,Enterovirus B,Enterovirus,Picornaviridae,7426,complete,Nigeria,Homo sapiens,2014
MH791293.1,AMU_200,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,7624,complete,Uganda,Bos taurus,2017
MH933760.1,HCoSV/CMRHP6A/CMR/2014,Human cosavirus,Cosavirus,Picornaviridae,7468,partial,Cameroon,Homo sapiens,2014
MH933766.1,HAV/Human/CMRHP2/CMR/2014,Hepatovirus A,Hepatovirus,Picornaviridae,7405,partial,Cameroon,Homo sapiens,2014
MH933779.1,HPeV-16/CMRHP2/CMR/2014,Parechovirus A,Parechovirus,Picornaviridae,7285,partial,Cameroon,Homo sapiens,2014
MH933792.1,Cardiovirus-B/CMRHP35/CMR/2014,Cardiovirus B,Cardiovirus,Picornaviridae,8077,partial,Cameroon,Homo sapiens,2014
MH933843.1,EV/Human/CMRHP1/CMR/2014,Human enterovirus,Enterovirus,Picornaviridae,7352,partial,Cameroon,Homo sapiens,2014
MK032893.1,E-19_CAF-BAN-05-150a,Enterovirus B,Enterovirus,Picornaviridae,4406,partial,Central African Republic,Homo sapiens,2005
MK032895.1,EV-D111_CAF-BAN-06-150,Enterovirus D,Enterovirus,Picornaviridae,7364,partial,Central African Republic,Homo sapiens,2006
MK032897.1,EV-D111_CAF-OUP-05-059,Enterovirus D,Enterovirus,Picornaviridae,7361,partial,Central African Republic,Homo sapiens,2005
MK159694.1,,Enterovirus B,Enterovirus,Picornaviridae,7295,complete,Nigeria,Homo sapiens,2014
MK190417.1,,Enterovirus D,Enterovirus,Picornaviridae,1185,partial,Nigeria,Homo sapiens,2016
MK376268.1,700919_RSA_2013,Enterovirus B,Enterovirus,Picornaviridae,6582,partial,South Africa,Homo sapiens,2013
MK415734.1,SAT3/KNP/01/08,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2220,partial,South Africa,Syncerus caffer,2008
MK415736.1,SAT3/SAR/01/06,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2220,partial,South Africa,Syncerus caffer,2006
MK415737.1,SAT3/KNP/01/03,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2220,partial,South Africa,Syncerus caffer,2003
MK415739.1,SAT3/KNP/08/02,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2220,partial,South Africa,Syncerus caffer,2002
MK415740.1,SAT3/SAR/14/01,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2220,partial,South Africa,Syncerus caffer,2001
MK415741.1,SAT3/KNP/14/96,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2220,partial,South Africa,Syncerus caffer,1996
MK415742.1,SAT3/BOT/06/98,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2220,partial,Botswana,Syncerus caffer,1998
MK415744.1,SAT3/ZAM/05/93,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2220,partial,Zambia,Syncerus caffer,1993
MK989713.1,,Enterovirus C,Enterovirus,Picornaviridae,7397,partial,Kenya,Homo sapiens,2015-06-15
MK989714.1,,Enterovirus A,Enterovirus,Picornaviridae,7411,partial,Kenya,Homo sapiens,2015-02-21
MK989717.1,,Enterovirus C,Enterovirus,Picornaviridae,7326,partial,Kenya,Homo sapiens,2010-04-08
MK989723.1,,Enterovirus D,Enterovirus,Picornaviridae,7261,partial,Kenya,Homo sapiens,2015-07-18
MK989734.1,,Rhinovirus A,Enterovirus,Picornaviridae,7138,partial,Kenya,Homo sapiens,2015-05-07
MK989737.1,,Rhinovirus A,Enterovirus,Picornaviridae,7089,partial,Kenya,Homo sapiens,2009-12-15
MK989740.1,,Rhinovirus A,Enterovirus,Picornaviridae,7043,partial,Kenya,Homo sapiens,2010-05-21
MK989743.1,,Rhinovirus B,Enterovirus,Picornaviridae,7204,partial,Kenya,Homo sapiens,2015-06-08
MK989744.1,,Rhinovirus B,Enterovirus,Picornaviridae,6927,partial,Kenya,Homo sapiens,2009-12-15
MK989746.1,,Rhinovirus B,Enterovirus,Picornaviridae,7249,partial,Kenya,Homo sapiens,2010-05-18
MK989748.1,,Rhinovirus C,Enterovirus,Picornaviridae,7113,partial,Kenya,Homo sapiens,2015-09-23
MN103523.1,SAT2/NIG/1/14,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8091,complete,Nigeria,Bos taurus,2014-10-14
MN265386.1,,Parechovirus A,Parechovirus,Picornaviridae,7310,complete,Niger,Homo sapiens,2013-03-06
MN265403.1,CR_01,Enterovirus J,Enterovirus,Picornaviridae,7282,partial,Nigeria,Mandrillus leucophaeus,2017
MN275118.1,SAT1/CAR/154/2016,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8166,complete,Cameroon,Bos taurus,2016-08-22
MN307882.1,,Parechovirus A,Parechovirus,Picornaviridae,7021,partial,Nigeria,Homo sapiens,17-May
MN442540.1,SAT1-KNP/196/91-Recombinant,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8070,complete,South Africa,Syncerus caffer,1991
MN650196.1,NGR_2018,Enterovirus F,Enterovirus,Picornaviridae,7378,complete,Nigeria,,2018
MN657230.1,E11-NHP-RD31,Enterovirus B,Enterovirus,Picornaviridae,7401,complete,Nigeria,,2016
MN784122.1,,Sapelovirus A,Sapelovirus,Picornaviridae,8207,complete,Nigeria,Mandrillus leucophaeus,2017
MN784123.1,,Cosavirus F,Cosavirus,Picornaviridae,7714,complete,Nigeria,Mandrillus leucophaeus,2017
MN914196.1,,Enterovirus C,Enterovirus,Picornaviridae,7256,complete,Malawi,Homo sapiens,2003
MN914201.1,,Enterovirus C,Enterovirus,Picornaviridae,7333,complete,Malawi,Homo sapiens,2004
MT076203.1,N-MR-16-Q3,Chimpanzee salivirus,Salivirus,Picornaviridae,1347,partial,Uganda,Pan troglodytes,2016
MT081370.1,,Enterovirus D,Enterovirus,Picornaviridae,7402,complete,Angola,Homo sapiens,2010
MT432082.1,CAF-19-RS1-BIM-033-CC,Enterovirus C,Enterovirus,Picornaviridae,7251,partial,Central African Republic,Homo sapiens,2019
MT542698.1,,Enterovirus E,Enterovirus,Picornaviridae,7344,complete,Nigeria,,2018
MT569434.1,Cpz-IJC08,Enterovirus C,Enterovirus,Picornaviridae,6648,partial,Republic of the Congo,Pan troglodytes troglodytes,2011
MT602077.1,ETH/2/2018,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8158,complete,Ethiopia,Bos taurus,2018-01-05
MT602078.1,ETH/19/2019,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8120,complete,Ethiopia,Bos taurus,2019-03-09
MT602079.1,SUD/9/2018,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8093,complete,Sudan,Bos taurus,2018-03-22
MT602080.1,UGA/28/2019,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8160,complete,Uganda,Bos taurus,2019-02-02
MT602081.1,ETH/4/2015,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8196,complete,Ethiopia,Bos taurus,2015-03-13
MT602082.1,ETH/30/2016,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8146,complete,Ethiopia,Bos taurus,2016-03-16
MT602085.1,KEN/10/2013,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8132,complete,Kenya,Bos taurus,2013-01-30
MT602087.1,TAN/22/2013,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8164,complete,Tanzania,Bos taurus,2013-08-13
MT602088.1,TAN/22/2014,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8159,complete,Tanzania,Bos taurus,2014-09-09
MT602089.1,EGY/1/2018,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8149,complete,Egypt,Bos taurus,2018-01-20
MT602092.1,KEN/19/2017,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8124,complete,Kenya,Bos taurus,2017-11-25
MT981312.1,A/BKF/2/1994,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2208,partial,Burkina Faso,,1994
MT981313.1,A/GHA/4/1996,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2208,partial,Ghana,,1996
MT981317.1,A/MAU/12/2006,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2211,partial,Mauritania,,2006
MT981318.1,A/KEN/7/2008,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2211,partial,Kenya,,2008
MT981319.1,A/NIG/38/2009,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2211,partial,Nigeria,,2009
MT981320.1,A/EGY/3/2009,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2211,partial,Egypt,,2009
MW117967.1,1337/13,Hepatovirus A,Hepatovirus,Picornaviridae,1082,partial,Tunisia,Homo sapiens,2013
MW117977.1,90/14,Hepatovirus A,Hepatovirus,Picornaviridae,1082,partial,Tunisia,Homo sapiens,2014
MW117990.1,302/15,Hepatovirus A,Hepatovirus,Picornaviridae,1082,partial,Tunisia,Homo sapiens,2015
MW117991.1,374/16,Hepatovirus A,Hepatovirus,Picornaviridae,1082,partial,Tunisia,Homo sapiens,2016
MW118001.1,1552/17,Hepatovirus A,Hepatovirus,Picornaviridae,1082,partial,Tunisia,Homo sapiens,2017
MW118002.1,262/18,Hepatovirus A,Hepatovirus,Picornaviridae,1082,partial,Tunisia,Homo sapiens,2018
MW355668.1,TAN/3/80,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8164,complete,Tanzania,Bos taurus,1980
MW355669.1,ZAM/2/88,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8175,complete,Zambia,Bos taurus,1988-04-05
MW355670.1,BOT-BUFF/7/72,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8164,complete,Botswana,Syncerus caffer,1972
MW355671.1,MOZ/1/70,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8137,complete,Mozambique,,1970-01-10
MW355672.1,ZAM-BUFF/18/74,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8123,complete,Zambia,Syncerus caffer,1974
MW355673.1,ZIM/8/89,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8164,complete,Zimbabwe,Bos taurus,1989-04-27
MW355674.1,BOT/209/67,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8109,complete,Botswana,Bos taurus,1967
MW355675.1,RHO/3/75,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8110,complete,Zimbabwe,Bos taurus,1975-08-21
MW355676.1,RHO/26/76,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8116,complete,Zimbabwe,Bos taurus,1976-11-18
MW355677.1,SAR/9/79,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8100,complete,South Africa,Bos taurus,1979-12-24
MW355678.1,ZAM/P2/96 MUL-4,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8142,complete,Zambia,Syncerus caffer,1996-06-01
MW355679.1,ZIM/P26/90 HV-5,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8153,complete,Zimbabwe,Syncerus caffer,1990-09-26
MW355680.1,ZIM/P25/91 UR-7,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8151,complete,Zimbabwe,Syncerus caffer,1991-06-04
MW373875.1,ADA-18-059-001,Human enterovirus,Enterovirus,Picornaviridae,3860,partial,Nigeria,,2018
MW373888.1,KAT-17-1263-001,Human enterovirus,Enterovirus,Picornaviridae,3884,partial,Nigeria,,2017
MW384880.1,D94-NIG-14-534,Enterovirus D,Enterovirus,Picornaviridae,7293,complete,Niger,Homo sapiens,2014
MW384881.1,D111-NGR-KAT-1263,Enterovirus D,Enterovirus,Picornaviridae,7315,complete,Nigeria,,2017
MW713747.1,7002,Rhinovirus A,Enterovirus,Picornaviridae,6909,partial,Kenya,Homo sapiens,2016-08-15
MW713760.1,7068,Rhinovirus A,Enterovirus,Picornaviridae,5669,partial,Kenya,Homo sapiens,2017-07-12
MW876511.1,K-UT-18-Q3,Enterovirus sp.,Enterovirus,Picornaviridae,6150,partial,Uganda,Pan troglodytes schweinfurthii,2018
MW876512.1,K-UM-16-Q1,Salivirus sp.,Salivirus,Picornaviridae,7125,partial,Uganda,Pan troglodytes schweinfurthii,2016
MZ004919.1,,Avihepatovirus A,Avihepatovirus,Picornaviridae,7703,complete,Egypt,Anas platyrhynchos,2019
MZ004920.1,,Avihepatovirus A,Avihepatovirus,Picornaviridae,7702,complete,Egypt,Anas platyrhynchos,2018
MZ004922.1,,Avihepatovirus A,Avihepatovirus,Picornaviridae,7702,complete,Egypt,Anas platyrhynchos,2020
MZ291982.1,G20_120,Picornaviridae sp.,,Picornaviridae,4631,partial,Cameroon,,2020-01-01
MZ291988.1,G20_12,Kobuvirus sp.,Kobuvirus,Picornaviridae,1220,partial,Cameroon,,2020-02-01
MZ868201.1,ETH/29/2008,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,1990,partial,Ethiopia,Bos taurus,2008-09-07
MZ868203.1,KEN/80/2010,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2145,partial,Kenya,Bos taurus,2010-03-15
NC_012957.1,,Salivirus A,Salivirus,Picornaviridae,7982,complete,Nigeria,Homo sapiens,07-Apr
NC_024070.1,,Rosavirus A,Rosavirus,Picornaviridae,8931,complete,Gambia,Homo sapiens,2008-10-29
NC_024073.1,CPML_8109/08,Enterovirus sp.,Enterovirus,Picornaviridae,7376,complete,Cameroon,Mandrillus sphinx,2008-02-04
NC_025474.1,,Crohivirus A,Crohivirus,Picornaviridae,7321,complete,Zambia,Crocidura hirta,12-May
NC_026470.1,PREDICT-06105,Mischivirus C,Mischivirus,Picornaviridae,8096,complete,Democratic Republic of the Congo,Macronycteris gigas,2013
NC_028366.1,M32Eidhel2010,Hepatovirus H,Hepatovirus,Picornaviridae,7333,complete,Ghana,Eidolon helvum,2010
NC_030886.1,GCCDC1 356,Rousettus bat coronavirus GCCDC1,Coronavirus,Coronaviridae,,,China,Rousettus leschenaulti,2018
NC_033818.1,,Kunsagivirus B,Kunsagivirus,Picornaviridae,7092,complete,Cameroon,Eidolon helvum,13-Dec
NC_033819.1,,Crohivirus B,Crohivirus,Picornaviridae,7085,complete,Cameroon,Eidolon helvum,13-Dec
NC_033820.1,,Bat sapelovirus,Sapelovirus,Picornaviridae,7746,complete,Cameroon,Eidolon helvum,13-Dec
NC_034206.1,baboon/M27-KuV/1986/TAN,Kunsagivirus C,Kunsagivirus,Picornaviridae,7429,complete,Tanzania,Papio cynocephalus,1986
NC_038313.1,SMG18520Minmav2014,Hepatovirus C,Hepatovirus,Picornaviridae,7570,complete,Madagascar,Miniopterus,2014
NC_038314.1,CIV459Lopsik2004,Hepatovirus E,Hepatovirus,Picornaviridae,7406,complete,Cote d'Ivoire,Lophuromys sikapusi,2004
NC_038316.1,BUO2BF86Colafr2010,Hepatovirus G,Hepatovirus,Picornaviridae,7399,complete,Ghana,Coleura afra,2010
OK570192.1,,Enterovirus C,Enterovirus,Picornaviridae,7273,partial,Madagascar,Homo sapiens,2011
OM022642.1,O/NIG/PL/NV/2018,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,7713,partial,Nigeria,Bos taurus,2018-07-10
OM022644.1,O/NIG/PL/BLD/02A/2017,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,7728,partial,Nigeria,Bos taurus,2017-11-10
OM104039.1,BSF3,Sapelovirus A,Sapelovirus,Picornaviridae,7438,partial,South Africa,Sus scrofa domesticus,21-Mar
OM105002.1,BSF2,Aichivirus C,Kobuvirus,Picornaviridae,8123,partial,South Africa,Sus scrofa domesticus,21-Mar
OM105026.1,BSF2,Tottorivirus A,Tottorivirus,Picornaviridae,6746,partial,South Africa,Sus scrofa domesticus,21-Mar
OM105027.1,BSF2,Pasivirus A,Pasivirus,Picornaviridae,6876,partial,South Africa,Sus scrofa domesticus,21-Mar
OM105028.1,BSF2,Enterovirus G,Enterovirus,Picornaviridae,7351,partial,South Africa,Sus scrofa domesticus,21-Mar
OM105029.1,BSF2,Teschovirus A,Teschovirus,Picornaviridae,7001,partial,South Africa,Sus scrofa domesticus,21-Mar
OM160610.1,,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8043,complete,Tunisia,Bos taurus,2014-04-26
OM160621.1,,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,7759,complete,Algeria,Bos taurus,2014-07-29
OM160625.1,,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,7733,complete,Algeria,Ovis aries,2015-02-21
OM562453.1,,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,7008,partial,Kenya,Bos taurus,16-Jan
OM863580.1,EGY/18/2012,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8167,complete,Egypt,Bos taurus,2012-03-09
OM863581.1,KEN/5/2012,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8215,complete,Kenya,Bos taurus,2012-12-23
OM863582.1,KEN/80/2010,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8149,complete,Kenya,Bos taurus,2010-03-15
OM863583.1,KEN/4/2013,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8116,complete,Kenya,Bos taurus,2013-01-20
OM863584.1,SUD/3/2013,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,7907,complete,Sudan,Bos taurus,2013-04-16
OM966657.1,BSF3,Teschovirus A,Teschovirus,Picornaviridae,7078,partial,South Africa,Sus scrofa domesticus,21-Mar
ON191507.1,,Enterovirus A,Enterovirus,Picornaviridae,7216,partial,Senegal,Homo sapiens,2016
ON191510.1,,Enterovirus A,Enterovirus,Picornaviridae,7398,partial,Senegal,Homo sapiens,2018
ON191511.1,,Enterovirus A,Enterovirus,Picornaviridae,7453,partial,Senegal,Homo sapiens,2019
ON245423.1,,Enterovirus B,Enterovirus,Picornaviridae,7055,complete,Nigeria,Homo sapiens,19-Mar
ON245424.1,,Hepatovirus A,Hepatovirus,Picornaviridae,4458,complete,Nigeria,Homo sapiens,2019-08-11
ON304044.1,K-OM-16-Q4,Enterovirus sp.,Enterovirus,Picornaviridae,5509,partial,Uganda,Pan troglodytes,2016
ON304045.1,K-OU-17-Q2,Enterovirus sp.,Enterovirus,Picornaviridae,6573,partial,Uganda,Pan troglodytes,2017
ON557390.1,ZAM/3/2015,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8054,complete,Zambia,Bos taurus,2015-10-23
ON596331.1,NIE/BOR/16-6,Enterovirus C,Enterovirus,Picornaviridae,7439,complete,Nigeria,Homo sapiens,2016
