pointer,OQ818325,OQ818328,OQ818329,OQ818321,OQ818337,OQ818316,OQ818318,OQ818323,OQ818324,OQ818319,OQ818322,OQ818317
9180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9220,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9240,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9260,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9280,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9320,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9340,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9360,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9380,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9420,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9440,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
